                                                                                                                                            organic_result_title                                                                                                                                                                                                                                                                                                                                organic_result_link                                                                                                                                                   citation_title                                                                                                                                                                                                                                                              citation_snippet
                                                                Human capital externalities and the urban wage premium: Two literatures and their interrelations                                                                                                                                                                                                                                                                                      https://journals.sagepub.com/doi/pdf/10.1177/0042098009352363                                                                 Human capital externalities and the urban wage premium: Two literatures and their interrelations                                                                     Heuermann, Daniel, Benedikt Halfdanarson, and Jens Suedekum. "Human capital externalities and the urban wage premium: Two literatures and their interrelations." Urban Studies 47, no. 4 (2010): 749-767.
                                                                                                   How important is education for getting ahead in South Africa?                                                                                                                                                                                                                                                                                                          https://open.uct.ac.za/handle/11427/20157                                                                                                    How important is education for getting ahead in South Africa?                                                                                                                                                                 Keswell, Malcolm, and Laura Poswell. "How important is education for getting ahead in South Africa?." (2002).
                                                                                                                             The public role in higher education                                                                                                                                                                                                                                                                                   https://www.journals.uchicago.edu/doi/abs/10.17310/ntj.2006.2.06                                                                                                                              The public role in higher education                                                                                                                           Courant, Paul N., Michael McPherson, and Alexandra M. Resch. "The public role in higher education." National Tax Journal 59, no. 2 (2006): 291-318.
                                                                                                 Private rates of return to human capital in Spain: New evidence                                                                                                                                                                                                                                                                      https://www.funcas.es/wp-content/uploads/Migracion/Publicaciones/PDF/1003.pdf                                                                                                  Private rates of return to human capital in Spain: New evidence                                                                                         Barceinas, F., J. Oliver-Alonso, J. L. Raymond, and J. L. Roig. "Private rates of return to human capital in Spain: New evidence." Documentos de Trabajo No. 162/2000, FUNCAS (2000).
                                              Return to Education and Endogeneity Bias: A Study Of Higher Education Institutions in Khyber Pakhtunkhwa, Pakistan                                                                                                                                                                                                                                                                                             http://pjss.bzu.edu.pk/index.php/pjss/article/view/869                                               Return to Education and Endogeneity Bias: A Study Of Higher Education Institutions in Khyber Pakhtunkhwa, Pakistan                                                      Khan, Aamir, and Himayatullah Khan. "Return to Education and Endogeneity Bias: A Study Of Higher Education Institutions in Khyber Pakhtunkhwa, Pakistan." Pakistan Journal of Social Sciences 40, no. 2 (2020): 603-614.
                                                                            Returns to education and the Italian case: what role for macro-regional differences?                                                                                                                                                                                                                                                                                                 https://www.politesi.polimi.it/handle/10589/169857                                                                             Returns to education and the Italian case: what role for macro-regional differences?                                                                                                                                        Casieri, Riccardo, and Simone Diodato. "Returns to education and the Italian case: what role for macro-regional differences?." (2020).
                                                                                                                    Higher education in China: A growth paradox?                                                                 https://books.google.com/books?hl=en&lr=&id=ncbADwAAQBAJ&oi=fnd&pg=PA3&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=YE8pPA6ayp&sig=RoPEujF5CQ5GZx6doMO0aF4dGzc                                                                                                                     Higher education in China: A growth paradox?                                                                                                                                                                                                   Fleisher, Belton M. "Higher education in China: A growth paradox?." (2002).
                                                                                                                                      The Economics of Education                                                                                                                                                                                                                                                                          https://ruor.uottawa.ca/bitstream/10393/25304/1/2007_macgregor_daniel.pdf                                                                                                                                       The Economics of Education                                                                                                                                                                                                                      Macgregor, Daniel. "The Economics of Education." (2007).
                                                                                                        Higher Education Externalities in Egyptian Labor Markets                                                                                                                                                                                                                                                                http://scholar.cu.edu.eg/sites/default/files/hanan_nazier/files/amae_vol_3_2_13.pdf                                                                                                         Higher Education Externalities in Egyptian Labor Markets                                                                                                                                 Nazier, Hanan. "Higher Education Externalities in Egyptian Labor Markets." Advances in Management and Applied Economics 3, no. 2 (2013): 193.
                                                                                                                   Investment in education—inputs and incentives                                                                                                                                                                                                                                                                             https://www.sciencedirect.com/science/article/pii/B9780444529442000112                                                                                                                    Investment in education—inputs and incentives                                                                                                                                Behrman, Jere R. "Investment in education—inputs and incentives." In Handbook of development economics, vol. 5, pp. 4883-4975. Elsevier, 2010.
                                                                                               Education and skills: An assessment of recent Canadian experience                                                                                                                                                                                                                                                                                             http://papers.economics.ubc.ca/legacypapers/dp0126.pdf                                                                                                Education and skills: An assessment of recent Canadian experience                                                                                                                                         Riddell, W. Craig. Education and skills: An assessment of recent Canadian experience. Centre for the Study of Living Standards, 2001.
                                                                                             Estimation of Rate of Returns on Investment in Education in Myanmar                                                                                                                                                                                                                          https://meral.edu.mm/record/8363/file_preview/Khin%20Moh%20Moh%2C%20Stats.%2C4PhD-Ah-1%2C%2013-9-2022.pdf?allow_aggs=True                                                                                              Estimation of Rate of Returns on Investment in Education in Myanmar                                                                                                                                                          Moh, Khin Moh. "Estimation of Rate of Returns on Investment in Education in Myanmar." PhD diss., MERAL Portal, 2022.
                                                                                   Estimating the private rate of return to education for Indigenous Australians                                                                                                                                                                                                                                                                                      https://openresearch-repository.anu.edu.au/handle/1885/145527                                                                                    Estimating the private rate of return to education for Indigenous Australians                                                                                                                                                            Daly, A. E., and Jin Liu. "Estimating the private rate of return to education for Indigenous Australians." (2018).
                                                                                                                              Essays on Inequality and Education                                                                                                                                                                                                                                                                                                   https://vtechworks.lib.vt.edu/handle/10919/84914                                                                                                                               Essays on Inequality and Education                                                                                                                                                                                    Vahidmanesh, Atiyeh. "Essays on Inequality and Education." PhD diss., Virginia Tech, 2017.
                                                                                                     RETURNS TO EDUCATION IS PURSUING HIGHER EDUCATION WORTH IT?                                                                                                                                                                                                                                                                                              https://scholarworks.calstate.edu/downloads/8w32rb749                                                                                                      RETURNS TO EDUCATION IS PURSUING HIGHER EDUCATION WORTH IT?                                                                                                                                                                                             Monarrez, Roberto. "RETURNS TO EDUCATION IS PURSUING HIGHER EDUCATION WORTH IT?."
                                                              Is improving access to university enough? Socio‐economic gaps in the earnings of english graduates                                                                                                                                                                                                                                                                                         https://onlinelibrary.wiley.com/doi/abs/10.1111/obes.12261                                                               Is improving access to university enough? Socio‐economic gaps in the earnings of english graduates                               Britton, Jack, Lorraine Dearden, Neil Shephard, and Anna Vignoles. "Is improving access to university enough? Socio‐economic gaps in the earnings of english graduates." Oxford Bulletin of Economics and Statistics 81, no. 2 (2019): 328-368.
                                                                                                                                            RECOUP Working Paper                                                                                                                                                                                                                                                       https://www.academia.edu/download/92691221/ssoar-2007-aslam-rates_of_return_to_education.pdf                                                                                                                                             RECOUP Working Paper                                                                                                                                                                                                                               Aslam, Monazza. "RECOUP Working Paper." (2007).
                                                                                                          The role of school improvement in economic development                                                                                                                                                                                                                                                                                                                 https://www.nber.org/papers/w12832                                                                                                           The role of school improvement in economic development                                                                                                                                                                      Hanushek, Eric A., and Ludger Wößmann. "The role of school improvement in economic development." (2007).
                                                                                                                                       ISSCDISCUSSIONPAPERSERIES                                                                                                                                                                                                                                                                                    https://researchrepository.ucd.ie/rest/bitstreams/2182/retrieve                                                                                                                                        ISSCDISCUSSIONPAPERSERIES                                                                                                                                                                                                                          EDUCATION, CAN. "ISSCDISCUSSIONPAPERSERIES." (2004).
                                                                 Is school the best route to skills? Returns to vocational school and vocational skills in Egypt                                                                                                                                                                                                                                                                                      https://www.pop.umn.edu/sites/pop.umn.edu/files/wp-2013-9.pdf                                                                  Is school the best route to skills? Returns to vocational school and vocational skills in Egypt                                                                                       Krafft, Caroline. Is school the best route to skills? Returns to vocational school and vocational skills in Egypt. No. 2013-09. Minnesota Population Center Working Paper Series, 2013.
                                                                          The Other School Production Function Inputs: Looking at Classroom and School Processes                                                                                                                                                                                                                                                                                                                                               None                                                                           The Other School Production Function Inputs: Looking at Classroom and School Processes                                                                                                                                                            Splinter, David. "The Other School Production Function Inputs: Looking at Classroom and School Processes." (2009).
                                              International comparisons of performance in the provision of public services: Outcome based measures for education https://www.researchgate.net/profile/Philip-Stevens-8/publication/266277402_International_Comparisons_of_Performance_in_the_Provision_of_Public_Services_Outcome_based_measures_for_Education/links/54e8441e0cf27a6de10cc7ce/International-Comparisons-of-Performance-in-the-Provision-of-Public-Services-Outcome-based-measures-for-Education.pdf                                               International comparisons of performance in the provision of public services: Outcome based measures for education                                                         O’Mahony, Mary, and Philip Stevens. "International comparisons of performance in the provision of public services: Outcome based measures for education." In Royal Economic Society Annual Conference, Swansea. 2004.
                                                                                                               Returns to education in four transition countries                                                                                                                                                                                      https://www.taylorfrancis.com/chapters/edit/10.4324/9781003100232-9/returns-education-four-transition-countries-anita-staneva-reza-arabsheibani-philip-murphy                                                                                                                Returns to education in four transition countries                                                                            Staneva, Anita V., G. Reza Arabsheibani, and Philip Murphy. "Returns to education in four transition countries." In Critical Perspectives on Economics of Education, pp. 182-212. Routledge, 2022.
                                                                                                                                           IN NIGERIA, 1974–1992                                                                                                                                                                                                                                                                             https://socweb.soc.jhu.edu/faculty/morgan/papers/Morgan&Morgan1998.pdf                                                                                                                                            IN NIGERIA, 1974–1992                                                                                                                                                                                                   Morgan, Stephen L., and William R. Morgan. "IN NIGERIA, 1974–1992." (1998).
                                                                             NONPARAMETRIC BOUNDS ON RETURNS TO SCHOOLING: OVERCOMING ABILITY AND SELECTION BIAS                                                                                                                                                                                                                                            https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=5931f8a63858f8b3e0c2f028cd82467e1658c668                                                                              NONPARAMETRIC BOUNDS ON RETURNS TO SCHOOLING: OVERCOMING ABILITY AND SELECTION BIAS                                                                                                                                        Mariotti, Martine, and Jürgen Meinecke. "NONPARAMETRIC BOUNDS ON RETURNS TO SCHOOLING: OVERCOMING ABILITY AND SELECTION BIAS." (2010).
                                                                                                                          External return to education in Poland                                                                                                                                                                                                                                                                                        https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1310206                                                                                                                           External return to education in Poland                                                                                                                                                                                Strawinski, Pawel. "External return to education in Poland." Available at SSRN 1310206 (2008).
                                                                                                                         Economics of Higher Education in the UK                                                                                                                                                                                                                                                                                                        https://orca.cardiff.ac.uk/id/eprint/90493/                                                                                                                          Economics of Higher Education in the UK                                                                                                                                                                                     Ji, Sisi. "Economics of Higher Education in the UK." PhD diss., Cardiff University, 2016.
                                                                        Reassessing the benefits of education: Three papers on the effects of education in Ghana                                                                                                                                                                                                                                             https://search.proquest.com/openview/ee741e5350e7de32b00f0b779a16f17f/1?pq-origsite=gscholar&cbl=18750                                                                         Reassessing the benefits of education: Three papers on the effects of education in Ghana                                                                                                                                               Bothun, Sara. Reassessing the benefits of education: Three papers on the effects of education in Ghana. Clark University, 2011.
                                                    Effects of human capital on farm and non-farm productivity and occupational stratification in rural Pakistan                                                                                                                                                                                                                                                                               http://21coe.ier.hit-u.ac.jp/research/discussion/2004/pdf/D04-46.pdf                                                     Effects of human capital on farm and non-farm productivity and occupational stratification in rural Pakistan                                                      Kurosaki, Takashi, and Humayun Khan. Effects of human capital on farm and non-farm productivity and occupational stratification in rural Pakistan. Tokyo: Institute of Economic Research, Hitotsubashi University, 2004.
                                                                Recent advances in empirical microeconomic research in poor countries: An annotated bibliography                                                                                                                                                                                                                                                                                      https://www.tandfonline.com/doi/pdf/10.1080/00220489709595907                                                                 Recent advances in empirical microeconomic research in poor countries: An annotated bibliography                                                                                             Udry, Christopher. "Recent advances in empirical microeconomic research in poor countries: An annotated bibliography." The Journal of Economic Education 28, no. 1 (1997): 58-75.
                                                                                                        2003-5 Empirical Evidence on Human Capital Externalities                                                                                                                                                                                                                                                                    https://ir.lib.uwo.ca/cgi/viewcontent.cgi?article=1012&context=economicsepri_wp                                                                                                         2003-5 Empirical Evidence on Human Capital Externalities                                                                                                                                                                                          Davies, James B. "2003-5 Empirical Evidence on Human Capital Externalities." (2003).
             The Private Internal Rates of Return to Tertiary Education: New Estimates for 21 OECD Countries. OECD Economics Department Working Papers, No. 591.                                                                                                                                                                                                                                                                                                                   https://eric.ed.gov/?id=ED503852              The Private Internal Rates of Return to Tertiary Education: New Estimates for 21 OECD Countries. OECD Economics Department Working Papers, No. 591.                                                      Boarini, Romina, and Hubert Strauss. "The Private Internal Rates of Return to Tertiary Education: New Estimates for 21 OECD Countries. OECD Economics Department Working Papers, No. 591." OECD Publishing (NJ1) (2007).
                                                                                                                  External returns to higher education in Turkey                                                                                                                                                                                                                                                                                             https://www.academia.edu/download/33588156/getFile.pdf                                                                                                                   External returns to higher education in Turkey                                                                                               Bakis, Ozan, Nurhan Davutyan, Haluk Levent, and Sezgin Polat. "External returns to higher education in Turkey." In Economic Research Forum Working Paper Series, no. 517. 2010.
                                                                                   Schooling and citizenship in a young democracy: Evidence from postwar Germany                                                                                                                                                                                                                                                                           https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9442.2010.01604.x                                                                                    Schooling and citizenship in a young democracy: Evidence from postwar Germany                                                                                                               Siedler, Thomas. "Schooling and citizenship in a young democracy: Evidence from postwar Germany." Scandinavian Journal of Economics 112, no. 2 (2010): 315-338.
                       The Wage Premium on Tertiary Education: New Estimates for 21 OECD Countries Countries. OECD Economics Department Working Papers, No. 589.                                                                                                                                                                                                                                                                                                                   https://eric.ed.gov/?id=ED504066                        The Wage Premium on Tertiary Education: New Estimates for 21 OECD Countries Countries. OECD Economics Department Working Papers, No. 589.                                                   Strauss, Hubert, and Christine De la Maisonneuve. "The Wage Premium on Tertiary Education: New Estimates for 21 OECD Countries Countries. OECD Economics Department Working Papers, No. 589." OECD Publishing (NJ1) (2007).
                                                                                               Schooling, BMI, height and wages: Panel evidence on men and women                                                                                                                                                                                                                                                                                               http://economicissues.org.uk/Files/2013/213Kedir.pdf                                                                                                Schooling, BMI, height and wages: Panel evidence on men and women                                                                                                                                                Kedir, Abbi Mamo. "Schooling, BMI, height and wages: Panel evidence on men and women." Economic Issues 18, no. 2 (2013): 1-18.
                                                                                        Student loans: Liquidity constraint and higher education in South Africa                                                                                                                                                                                                                                                                                        https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1969424                                                                                         Student loans: Liquidity constraint and higher education in South Africa                                                                               Gurgand, Marc, Adrien JS Lorenceau, and Thomas Mélonio. "Student loans: Liquidity constraint and higher education in South Africa." Agence Française de Développement Working Paper 117 (2011).
Understanding low average returns to education in Africa: the role of heterogeneity across education levels and the importance of political and economic reforms                                                                                                                                                                                                                                                                                        https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1286724 Understanding low average returns to education in Africa: the role of heterogeneity across education levels and the importance of political and economic reforms                                                                             Uwaifo Oyelere, Ruth. "Understanding low average returns to education in Africa: the role of heterogeneity across education levels and the importance of political and economic reforms." (2008).
                                                                                                                  The individual benefits of investing in skills                                                               https://books.google.com/books?hl=en&lr=&id=1AEXDgAAQBAJ&oi=fnd&pg=PA345&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=vGQwwXSats&sig=DMBOFIaYOoUKF2z2aoBIFqCJ0YE                                                                                                                   The individual benefits of investing in skills                                                                                                                                                  Holmes, Craig. "The individual benefits of investing in skills." The Oxford Handbook of Skills and Training (2017): 345-371.
                                                                                                                                         Externalities in cities                                                                                                                                                                                                                                                                                                 https://repec.cepr.org/repec/cpr/ceprdp/DP4048.pdf                                                                                                                                          Externalities in cities                                                                                                                                                                                                                        CHARLOT, Sylvie, et al. Externalities in cities. 2003.
                                                                                                                   The effect of compulsory schooling in Germany                                                                                                                                                                                                                                                                                               https://cep.lse.ac.uk/seminarpapers/05-10-04-PIS.pdf                                                                                                                    The effect of compulsory schooling in Germany                                                                                                                                                          Pischke, Jörn Steffen, and Till von Wachter. "The effect of compulsory schooling in Germany." system 24 (2004): J31.
                                                                              Can education compensate for low ability? Evidence from British data (version 3.1)                                                                                                                                                                                                                                                                                                  http://researchrepository.ucd.ie/handle/10197/942                                                                               Can education compensate for low ability? Evidence from British data (version 3.1)                                                                                                                                           Denny, Kevin, and Vincent O'Sullivan. "Can education compensate for low ability? Evidence from British data (version 3.1)." (2004).
                                  How does the expansion of higher education change the returns to college quality? Insights from sixty years of Russian history                                                                                                                                                                                                                                                                               http://conference.iza.org/conference_files/worldb2014/peter_k200.pdf                                   How does the expansion of higher education change the returns to college quality? Insights from sixty years of Russian history Belskaya, Olga, and Klara Sabirianova Peter. "How does the expansion of higher education change the returns to college quality? Insights from sixty years of Russian history." In 9th IZA/World Bank Conference on Employment and Development. URl:(cit. on pp. 3, 25). 2014.
                                                                                                                                   Financing public universities                                                                                                                                                                                                                                                                                https://link.springer.com/content/pdf/10.1007/978-1-4020-5560-7.pdf                                                                                                                                    Financing public universities                                                                                                                                                                           Herbst, Marcel. "Financing public universities." Higher education dynamics 18, no. 1 (2007): 90-94.
                                                                                 Higher education expansion, the hukou System, and returns to education in China                                                                                                                                                                                                                                                                                        https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3542623                                                                                  Higher education expansion, the hukou System, and returns to education in China                                                                                                                                                            Huang, Bin, and Yu Zhu. "Higher education expansion, the hukou System, and returns to education in China." (2020).
                                                                                                    Human Capital Earnings Functions: A Theoretical Introduction                                                                                                                                                                                                                                                                                         https://www.econstor.eu/bitstream/10419/187094/1/dp405.pdf                                                                                                     Human Capital Earnings Functions: A Theoretical Introduction                                                                                                                                                           Asplund, Rita. Human Capital Earnings Functions: A Theoretical Introduction. No. 405. ETLA Discussion Papers, 1992.
                                                                                             A large scale experiment: wages and educational expansion in France                                                                                                                                                                                                                                                                                                           https://shs.hal.science/halshs-00587884/                                                                                              A large scale experiment: wages and educational expansion in France                                                                                                                                                                Gurgand, Marc, and Eric Maurin. "A large scale experiment: wages and educational expansion in France." (2007).
                                                                                               The return to human capital in Norway: a review of the literature                                                                                                                                                                                                                                                                                           https://www.etla.fi/wp-content/uploads/b156.pdf#page=239                                                                                                The return to human capital in Norway: a review of the literature                                  Barth, Erling, and Marianne Roed. "The return to human capital in Norway: a review of the literature." Returns to human capital in Europe: A literature review, ETLA-The Research Institute of the Finnish Economy, Helsinki (1999): 227-58.
                                                                                          Estimating the economic return to schooling on the basis of panel data                                                                                                                                                                                                                                                                                        https://www.tandfonline.com/doi/abs/10.1080/000368400322985                                                                                           Estimating the economic return to schooling on the basis of panel data                                                                                                                                                KALWIJ, Adriaan. Estimating the economic return to schooling on the basis of panel data. Applied Economics, 2000, 32.1: 61-71.
                                                                                                           The effect of educational mismatch on wages in Europe                                                                                                                                                                                                                                                                                https://www.sciencedirect.com/science/article/pii/S0161893815001180                                                                                                            The effect of educational mismatch on wages in Europe                                                                                                                     Iriondo, Iñaki, and Teodosio Pérez-Amaral. "The effect of educational mismatch on wages in Europe." Journal of Policy Modeling 38, no. 2 (2016): 304-323.
                                                                                                                                   Returns to Education in Spain                                                                                                                                                                                                                                                                                     https://2015.economicsofeducation.com/user/pdfsesiones/118.pdf                                                                                                                                    Returns to Education in Spain                                                                                                                                                                                  Requena, Laura. "Returns to Education in Spain." Mimeograph. University of Sheffield (2015).
          Use of Education Disruptions to Identify Heterogeneous Returns to Schooling in Urban China: The Great Proletarian Cultural Revolution as an Instrument                                                                                                                                                                                                                                                                                                            http://www.agi.or.jp/user03/928_170.pdf           Use of Education Disruptions to Identify Heterogeneous Returns to Schooling in Urban China: The Great Proletarian Cultural Revolution as an Instrument                                                                                               Park, Albert. "Use of Education Disruptions to Identify Heterogeneous Returns to Schooling in Urban China: The Great Proletarian Cultural Revolution as an Instrument." (2003).
                                                                                          Skills, Exports, and the Wages of Seven Million Latin American Workers                                                                                                                                                                                                                                                                                                                 https://www.nber.org/papers/w15996                                                                                           Skills, Exports, and the Wages of Seven Million Latin American Workers                                                                                                                                  BRAMBILLA, Irene, et al. Skills, Exports, and the Wages of Seven Million Latin American Workers. National Bureau of Economic Research, 2010.
                                                          General education versus vocational training: How do they affect individual labour market performance?                                                                                                                                                                                                                                                              https://dial.uclouvain.be/downloader/downloader.php?pid=boreal:6033&datastream=PDF_01                                                           General education versus vocational training: How do they affect individual labour market performance?                                                                                                                       Karasiotou, Pavlina. "General education versus vocational training: How do they affect individual labour market performance?." Cahiers du CEREC (2004).
                                                                                                                           New managerialism in higher education                                                                                                                                                                                                                                                                            https://link.springer.com/content/pdf/10.1007/978-94-017-8905-9_308.pdf                                                                                                                            New managerialism in higher education                                                                                Deem, Rosemary. "New managerialism in higher education." In The International Encyclopedia of Higher Education Systems and Institutions, pp. 2083-2088. Dordrecht: Springer Netherlands, 2020.
                                                                                                      CHANGES IN RETURN TO HIGHER EDUCATION IN POLAND 1998-2004.                                                                                                                                                                                                                                                                                                     https://mpra.ub.uni-muenchen.de/id/eprint/5185                                                                                                       CHANGES IN RETURN TO HIGHER EDUCATION IN POLAND 1998-2004.                                                                                                                                                                                       Strawinski, Pawel. "CHANGES IN RETURN TO HIGHER EDUCATION IN POLAND 1998-2004." (2007).
                                                                                         Heterogeneous economic returns to higher education: evidence from Italy                                                                                                                                                                                                                                                                                        https://link.springer.com/article/10.1007/s11135-015-0176-2                                                                                          Heterogeneous economic returns to higher education: evidence from Italy                                                                                                                      Lovaglio, P. G., and Stefano Verzillo. "Heterogeneous economic returns to higher education: evidence from Italy." Quality & Quantity 50 (2016): 791-822.
                                                                                                                                                             ZEW                                                                                                                                                                                                                                                                                                                                               None                                                                                                                                                              ZEW                                                                                                                                                                                                                               Schnabel, Isabel, and Reinhold Schnabel. "ZEW."
                                                                                                           Returns to education of United States Arab immigrants                                                                                                                                                                                                                                      https://search.proquest.com/openview/f50ab34c92362b9c707e2c2fc4461817/1?pq-origsite=gscholar&cbl=18750&diss=y                                                                                                            Returns to education of United States Arab immigrants                                                                                                                                                          Aly, Ashraf El-Sayed El-Araby. Returns to education of United States Arab immigrants. Kansas State University, 2004.
                                                                                                                               The returns to schooling unveiled                                                                                                                                                                                                                                                                                        https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3153383                                                                                                                                The returns to schooling unveiled                                                                                                                                                               Cardoso, Ana Rute, Paulo Guimaraes, Pedro Portugal, and Hugo Reis. "The returns to schooling unveiled." (2018).
                                                                             Disparities in the Benefits from Democratic Reform in Nigeria: A Gender Perspective                                                                                                                                                                                                                                                                           https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1746-1049.2010.00111.x                                                                              Disparities in the Benefits from Democratic Reform in Nigeria: A Gender Perspective                                                                                                              Oyelere, Ruth Uwaifo. "Disparities in the Benefits from Democratic Reform in Nigeria: A Gender Perspective." The Developing Economies 48, no. 3 (2010): 345-375.
                                                                                        The returns to vocational high school education in Turkey by disciplines                                                                                                                                                                                                                                                                                                  https://research.sabanciuniv.edu/id/eprint/34370/                                                                                         The returns to vocational high school education in Turkey by disciplines                                                                                                                                                              Hayytjanova, Aylar. "The returns to vocational high school education in Turkey by disciplines." PhD diss., 2015.
                                                             General Education Vs Vocational Training: How Do They Affect Individual Labour Market Performance?.                                                                                                                                                                                                                                                                                                        https://core.ac.uk/download/pdf/6227287.pdf                                                              General Education Vs Vocational Training: How Do They Affect Individual Labour Market Performance?.                                                      Karasiotou, Pavlina. General Education Vs Vocational Training: How Do They Affect Individual Labour Market Performance?. No. UCL-Université Catholique de Louvain. Institut de Recherches Economiques et Sociales, 2004.
                                                                                                                       Mobility in Latin America: Deeper Markets                                                               https://books.google.com/books?hl=en&lr=&id=AeF3GyPJsvkC&oi=fnd&pg=PA135&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=jEf5bB_X5_&sig=e8UhvafCVzbmfduETPKQzrFOhMw                                                                                                                        Mobility in Latin America: Deeper Markets                                                                                             BEHRMAN, JERE R., and MIGUEL SZÉKELY. "Mobility in Latin America: Deeper Markets." New Markets, New Opportunities?: Economic and Social Mobility in a Changing World (2001): 135.
                                                                                                               Opłacalność studiów w Polsce. Model i jego wyniki                                                                                                                                                                                                                                                                http://bazekon.icm.edu.pl/bazekon/element/bwmeta1.element.ekon-element-000153343887                                                                                                                Opłacalność studiów w Polsce. Model i jego wyniki                                                                                                                                                                         Strawiński, Paweł. "Opłacalność studiów w Polsce. Model i jego wyniki." Ekonomista 4 (2008): 535-553.
