                                                                                                                                  organic_result_title                                                                                                                                                                                                                                                                                                                               organic_result_link                                                                                                                                         citation_title                                                                                                                                                                                                                                                                                                        citation_snippet
                                                                                               Three studies on the value and risk of higher education                                                                                                                                                                                                                                            https://search.proquest.com/openview/2b649c48d47f327e2d559fd99f4744fe/1?pq-origsite=gscholar&cbl=18750                                                                                                Three studies on the value and risk of higher education                                                                                                                                                                                                Best, Katharina Ley. "Three studies on the value and risk of higher education." PhD diss., University of Michigan, 2013.
                                                                                                                        Contributions of Zvi Griliches                                                                                                                                                                                                                                                                                https://www.nber.org/system/files/working_papers/w12318/w12318.pdf                                                                                                                         Contributions of Zvi Griliches                                                                                                                                                                                                                                                             Heckman, James J. "Contributions of Zvi Griliches." (2006).
                                                                                                   Cost of Educational Deprivation: A Case of Pakistan                                                                                                                                                                                                                                                                    https://pdfs.semanticscholar.org/2aaf/56e1d4cdf3fc3a644d2d33fc30243be9ad73.pdf                                                                                                    Cost of Educational Deprivation: A Case of Pakistan                                                                                                                                               Rafique, Nayar, and Idrees Khawaja. "Cost of Educational Deprivation: A Case of Pakistan." International Journal of Economics and Financial Issues 10, no. 5 (2020): 187.
                                  What holds back the second generation? The intergenerational transmission of language human capital among immigrants                                                                                                                                                                                                                                                                                                     http://jhr.uwpress.org/content/43/2/267.short                                   What holds back the second generation? The intergenerational transmission of language human capital among immigrants                                                                                                           Bleakley, Hoyt, and Aimee Chin. "What holds back the second generation? The intergenerational transmission of language human capital among immigrants." Journal of human resources 43, no. 2 (2008): 267-298.
                                                                                                                        The gender wage gap in Belarus                                                                                                                                                                                                                                                                                       https://link.springer.com/article/10.1007/s11300-005-0072-x                                                                                                                         The gender wage gap in Belarus                                                                                                                                                                                            Pastore, Francesco, and Alina Verashchagina. "The gender wage gap in Belarus." Transition Studies Review 12 (2005): 497-511.
                                                                                                                            Gary S. Becker (1930–2014)                                                                                                                                                                                                                                                                                    https://link.springer.com/chapter/10.1007/978-3-031-01775-9_32                                                                                                                             Gary S. Becker (1930–2014)                                                                                                                                                            Teixeira, Pedro N. "Gary S. Becker (1930–2014)." In The Palgrave Companion to Chicago Economics, pp. 817-840. Cham: Springer International Publishing, 2023.
                                                    Short and long term interactions among education, democratization, political stability, and growth                                                                                                                                                                                                                                                                                                        https://www.ideals.illinois.edu/items/1107                                                     Short and long term interactions among education, democratization, political stability, and growth                                                                                                                                                                      McMahon, Walter W. "Short and long term interactions among education, democratization, political stability, and growth." Occasional Papers (2004).
                                                                                                            WORKING PAPERS IN ECONOMICS & ECONOMETRICS                                                                                                                                                                                                                                                                                              https://cbe.anu.edu.au/researchpapers/econ/wp510.pdf                                                                                                             WORKING PAPERS IN ECONOMICS & ECONOMETRICS                                                                                                                                                                                                               SOUTH, RETURNS TO EDUCATION IN, and SELECTION BIAS. "WORKING PAPERS IN ECONOMICS & ECONOMETRICS." (2009).
                                                                      The importance of graduates to the Scottish economy: a “micro to macro" approach                                                                                                                                                                                                                                                                                                          https://strathprints.strath.ac.uk/39716/                                                                       The importance of graduates to the Scottish economy: a “micro to macro" approach                                                                                                                                                                                                   HERMANNSSON, Kristinn, et al. The importance of graduates to the Scottish economy: a “micro to macro" approach. 2010.
                                                                                                                           Does your Education Payoff?                                                                                                                                                                                                                                           https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=cf08d0a2660bc64307174134987fa068b96f222d                                                                                                                            Does your Education Payoff?                                                                                                                                                                                                                                                                   Fuglsang, Anette Hove. "Does your Education Payoff?."
                                             Do school subsidy programs generate lasting benefits? A five-year follow-up of Oportunidades participants                      https://www.researchgate.net/profile/Jere-Behrman/publication/228347959_Do_School_Subsidy_Programs_Generate_Lasting_Benefits_A_Five-Year_Follow-Up_of_Oportunidades_Participants/links/02bfe510292ab6abae000000/Do-School-Subsidy-Programs-Generate-Lasting-Benefits-A-Five-Year-Follow-Up-of-Oportunidades-Participants.pdf                                              Do school subsidy programs generate lasting benefits? A five-year follow-up of Oportunidades participants                                                                 Behrman, Jere R., Susan W. Parker, and Petra E. Todd. "Do school subsidy programs generate lasting benefits? A five-year follow-up of Oportunidades participants." University of Pennsylvania and Centro de Investigación y Docencia Económicas (2007).
                                                                                                                Returns to Higher Education and Gender                                                                                                                                                                                                                                                                           https://link.springer.com/content/pdf/10.1007/978-94-017-8905-9_112.pdf                                                                                                                 Returns to Higher Education and Gender                                                                                                                       Figueiredo, Hugo. "Returns to Higher Education and Gender." In The International Encyclopedia of Higher Education Systems and Institutions, pp. 2474-2483. Dordrecht: Springer Netherlands, 2020.
                                                                                   An economic analysis of household educational decisions in Malaysia                                                                                                                                                                                                                                            https://search.proquest.com/openview/c72039136d8686131454639ad40b3b81/1?pq-origsite=gscholar&cbl=18750                                                                                    An economic analysis of household educational decisions in Malaysia                                                                                                                                                                                              Kenayathulla, Husaina Banu. An economic analysis of household educational decisions in Malaysia. Indiana University, 2012.
                                           Education, experience and earnings: a multilevel analysis-a case study of the manufacturing sector in Iran.                                                                                                                                                                                                                                                                                                   https://discovery.ucl.ac.uk/id/eprint/10020324/                                            Education, experience and earnings: a multilevel analysis-a case study of the manufacturing sector in Iran.                                                                                                                        Rushnavand, Naderi. "Education, experience and earnings: a multilevel analysis-a case study of the manufacturing sector in Iran." PhD diss., Institute of Education, University of London, 1999.
                                                                                                        Capturing the overall economic impacts of HEIs                                                                                                                                                                                                                                                                                                                   https://eprints.gla.ac.uk/88205                                                                                                         Capturing the overall economic impacts of HEIs                                                                                                                                                                                                     Hermannsson, Kristinn, and K. Swales. "Capturing the overall economic impacts of HEIs." Commissioned report (2010).
                                                                     Workers' Ability Index and Optimal Level of Schooling in Malaysian Service Sector                                                                  https://www.researchgate.net/profile/Chung-Khain-Wye/publication/338777807_Workers'_Ability_Index_and_Optimal_Level_of_Schooling_in_Malaysian_Service_Sector/links/5e29d51a4585150ee77de51d/Workers-Ability-Index-and-Optimal-Level-of-Schooling-in-Malaysian-Service-Sector.pdf                                                                      Workers' Ability Index and Optimal Level of Schooling in Malaysian Service Sector                                                                                                   Ismail, Rahmah, Chung-Khain Wye, and Noor Shakira Lukman. "Workers' Ability Index and Optimal Level of Schooling in Malaysian Service Sector." Journal of Economic Cooperation & Development 40, no. 3 (2019): 37-68.
                                                                       The effect of language deficiency on immigrant labor market outcomes in Germany                                                                                                                                                                                                                             https://www.diw.de/documents/dokumentenarchiv/17/diw_01.c.461222.de/032_soep2014abstract_isphording_otten_sinning.pdf                                                                        The effect of language deficiency on immigrant labor market outcomes in Germany                                                                                                                         Isphording, Ingo E., Sebastian Otten, and Mathias Sinning. "The effect of language deficiency on immigrant labor market outcomes in Germany." In 11th SOEP User Conference (Berlin: DIW). 2014.
                                                              Estimates of the Return to Schooling and Variations Between Countries and Ability Groups                                                                                                                                                                                                                                                           https://lup.lub.lu.se/luur/download?func=downloadFile&recordOId=9061203&fileOId=9061205                                                               Estimates of the Return to Schooling and Variations Between Countries and Ability Groups                                                                                                                                                                                                    Sandberg, David. "Estimates of the Return to Schooling and Variations Between Countries and Ability Groups." (2021).
                                                                                         Returns to Education and Skills in the UK for the 1970 Cohort                                                                                                                                                                                                                                  https://ueaeprints.uea.ac.uk/id/eprint/34232/1/Returns_to_Education_and_Skills_in_the_UK_for_the_1970_Cohort.pdf                                                                                          Returns to Education and Skills in the UK for the 1970 Cohort                                                                                                                                                                                    Aldrich, Matthew Kevin. "Returns to Education and Skills in the UK for the 1970 Cohort." PhD diss., University of East Anglia, 2010.
                                                The policy irrelevance of the economics of education: is 'normative as positive'just useless, or worse                                                                                                                                                                                                                                           https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=d5047700f8e28e5723cc4298114b0b50f23e93a0                                                 The policy irrelevance of the economics of education: is 'normative as positive'just useless, or worse                                                                                                                                                    Pritchett, Lant. "The policy irrelevance of the economics of education: is ‘normative as positive’just useless, or worse." What works in Development (2009): 130-73.
                                                                                                                               Essays on overeducation                                                                                                                                                                                                                                                https://leicester.figshare.com/articles/thesis/Essays_on_Overeducation/10180697/files/18347720.pdf                                                                                                                                Essays on overeducation                                                                                                                                                                                                                                     Kyrizi, Andri. "Essays on overeducation." PhD diss., University of Leicester, 2014.
                   Will ASEAN mutual recognition arrangements induce skilled workers to move? A case study of the engineering labor market in Thailand                                                                                                                                                                                                                                                                 https://www.elgaronline.com/abstract/edcoll/9781788116169/9781788116169.00016.xml                    Will ASEAN mutual recognition arrangements induce skilled workers to move? A case study of the engineering labor market in Thailand                             Paweenawat, Sasiwimon Warunsiri, and Jessica Vechbanyongratana. "Will ASEAN mutual recognition arrangements induce skilled workers to move? A case study of the engineering labor market in Thailand." In Skilled Labor Mobility and Migration, pp. 241-266. Edward Elgar Publishing, 2019.
                                                                          Self-employment: new empirical evidence on human capital and business cycles                                                                                                                                                                                                                                                                                                      https://core.ac.uk/download/pdf/60675592.pdf                                                                           Self-employment: new empirical evidence on human capital and business cycles                                                                                                                                                                                                        Iglesias Garrido, Jesús. "Self-employment: new empirical evidence on human capital and business cycles." (2014).
                                                                                                            Effects of education on Sub Saharan Africa                                                                                                                                                                                                                                                                                                          https://gupea.ub.gu.se/handle/2077/29992                                                                                                             Effects of education on Sub Saharan Africa                                                                                                                                                                                                                                            Wong, Wei Pei Juliana. "Effects of education on Sub Saharan Africa." (2012).
                                                                             Changes in economic returns to higher education in urban China, 2003–2017                                                                                                                                                                                                                                                                              https://lup.lub.lu.se/student-papers/record/9049925/file/9049930.pdf                                                                              Changes in economic returns to higher education in urban China, 2003–2017                                                                                                                                                                                                                      Song, Minrui. "Changes in economic returns to higher education in urban China, 2003–2017." (2021).
                                                                                                             Rates of return to education in Sri Lanka                                                                                                                                                                                                                                                                                                       https://www.econstor.eu/handle/10419/210846                                                                                                              Rates of return to education in Sri Lanka                                                                                                                                                                                   Bandara, Nirodha, Simon Appleton, and Trudy Owens. Rates of return to education in Sri Lanka. No. 18/08. CREDIT Research Paper, 2018.
                                                        Ability, parental background and education policy: empirical evidence from a social experiment                                                                                                                                                                                                                                                                                                        https://www.econstor.eu/handle/10419/71483                                                         Ability, parental background and education policy: empirical evidence from a social experiment                                                                                                                                                  Meghir, Costas, and Mårten Palme. Ability, parental background and education policy: empirical evidence from a social experiment. No. 03/05. IFS Working Papers, 2003.
                                                                                               A macroeconomic perspective on education and inequality                                                                                                                                                                                                                                                                                                        https://www.econstor.eu/handle/10419/63716                                                                                                A macroeconomic perspective on education and inequality                                                                                                                                                                                                          Asplund, Rita. A macroeconomic perspective on education and inequality. No. 906. ETLA Discussion Papers, 2004.
                                                                                         The Economic Value of Education: Three Statistical Approaches                                                                                                                                                                                                                                                                                                            https://etheses.whiterose.ac.uk/19610/                                                                                          The Economic Value of Education: Three Statistical Approaches                                                                                                                                                                                       Requena Casado, Laura. "The Economic Value of Education: Three Statistical Approaches." PhD diss., University of Sheffield, 2017.
                                                                                            Effective Tax and Subsidy Rates on Human Capital in Canada                                                                                                                                                                                                                                                                    https://economics.uwo.ca/people/davies_docs/EffectiveTaxAndSubsidy_Dec2010.pdf                                                                                             Effective Tax and Subsidy Rates on Human Capital in Canada                                                                                                                                                                                                                                    Davies, James. "Effective Tax and Subsidy Rates on Human Capital in Canada." (2010).
                                                                                                     Revenue Generation, Higher Education Institutions                                                                                                                                                                                                                                                                           https://link.springer.com/content/pdf/10.1007/978-94-017-8905-9_536.pdf                                                                                                      Revenue Generation, Higher Education Institutions                                                                                                          Alstete, Jeffrey W. "Revenue Generation, Higher Education Institutions." In The International Encyclopedia of Higher Education Systems and Institutions, pp. 2489-2495. Dordrecht: Springer Netherlands, 2020.
                                                                                                      Research on Higher Education and Europeanization                                                                                                                                                                                                                                                                           https://link.springer.com/content/pdf/10.1007/978-94-017-8905-9_142.pdf                                                                                                       Research on Higher Education and Europeanization                                                                                                 Ertl, Hubert, and Katri Eeva. "Research on Higher Education and Europeanization." In The International Encyclopedia of Higher Education Systems and Institutions, pp. 2462-2467. Dordrecht: Springer Netherlands, 2020.
                                                                                    2011-04 Effective Tax and Subsidy Rates on Human Capital in Canada                                                                                                                                                                                                                                                                      https://ir.lib.uwo.ca/cgi/viewcontent.cgi?article=1066&context=economicscibc                                                                                     2011-04 Effective Tax and Subsidy Rates on Human Capital in Canada                                                                                                                                                                    Burbidge, John B., Kirk A. Collins, James B. Davies, and Lonnie Magee. "2011-04 Effective Tax and Subsidy Rates on Human Capital in Canada." (2011).
                                                                                   New Modes of Student Mobility, Work Experience and Service Learning                                                                                                                                                                                                                                                                           https://link.springer.com/content/pdf/10.1007/978-94-017-8905-9_233.pdf                                                                                    New Modes of Student Mobility, Work Experience and Service Learning                                                                                          Brandenburg, Uwe. "New Modes of Student Mobility, Work Experience and Service Learning." In The International Encyclopedia of Higher Education Systems and Institutions, pp. 2089-2092. Dordrecht: Springer Netherlands, 2020.
                                                                                       Measuring family effects on future returns to childhood ability                                                                                                                                                                                                                                                                                                              https://dare.uva.nl/document/2/35583                                                                                        Measuring family effects on future returns to childhood ability                                                                                                                                                                                                                          Plug, Erik JS. Measuring family effects on future returns to childhood ability. SCHOLAR, 2000.
                                                                                                                       Non-university higher education                                                                                                                                                                                                                                                                            https://link.springer.com/content/pdf/10.1007/978-94-017-8905-9_26.pdf                                                                                                                        Non-university higher education                                                                                                                                 Seeber, Marco. "Non-university higher education." In The International Encyclopedia of Higher Education Systems and Institutions, pp. 2124-2128. Dordrecht: Springer Netherlands, 2020.
                                                          The Role of Agriculture and Human Capital in Economic Growth: Farmers, Schooling, and Health                                                                                                                                                                                                                                                                                                                                              None                                                           The Role of Agriculture and Human Capital in Economic Growth: Farmers, Schooling, and Health                                                                                                                                                                             Orazem, Peter, and Wallace Huffman. "The Role of Agriculture and Human Capital in Economic Growth: Farmers, Schooling, and Health." (2004).
                                                                      College for All?: Is There Too Much Emphasis on Getting a 4-year College Degree?                                                               https://books.google.com/books?hl=en&lr=&id=a6h7cJ8f89YC&oi=fnd&pg=PP15&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=_PyLmVZR6_&sig=tARGv9GYqAluUGCwQ0q_jvrP7WA                                                                       College for All?: Is There Too Much Emphasis on Getting a 4-year College Degree?                                                                                                       Boesel, David. College for All?: Is There Too Much Emphasis on Getting a 4-year College Degree?. National Library of Education, Office of Educational Research and Improvement, US Department of Education, 1999.
                                                                                                                           How Large Are Human-Capital                                                                                                                                                                                                                                                                                 http://masteringmetrics.com/wp-content/uploads/2015/02/AA2000.pdf                                                                                                                            How Large Are Human-Capital                                                                                                                                                                                                                                                     Acemoglu, Daron, and Joshua Angrist. "How Large Are Human-Capital."
                                                  Overeducation among Dutch higher vocational education graduates and its consequences for their wages                                                                                                                                                                                                                                                                                               https://thesis.eur.nl/pub/9448/DannyGroenenberg.pdf                                                   Overeducation among Dutch higher vocational education graduates and its consequences for their wages                                                                                                                                                                                     Groenenberg, Danny. "Overeducation among Dutch higher vocational education graduates and its consequences for their wages." (2013).
                                                                                                                     Daron Acemoglu and Joshua Angrist                                                                https://books.google.com/books?hl=en&lr=&id=DnyGxWBicB4C&oi=fnd&pg=PA9&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=HFZM9dOfrk&sig=eTL-CO7Kds4NBKOYWM-fnYS6Gzk                                                                                                                      Daron Acemoglu and Joshua Angrist                                                                                                                                                                            Human-Capital, How Large Are, and Compulsory Schooling Laws. "Daron Acemoglu and Joshua Angrist." Nber Macroeconomics Annual 2000 (2001): 9.
                                                                                               Human capital and payment systems in Britain, 1833-1914                                                                                                                                                                                                                                                                                                       https://eprints.lse.ac.uk/22453/1/09_92.pdf                                                                                                Human capital and payment systems in Britain, 1833-1914                                                                                                                                                                                                     Baines, Dudley, Peter Howlett, and Paul Johnson. "Human capital and payment systems in Britain, 1833-1914." (1992).
                                                                                         The labor market consequences of dropping out of high school.                                                                                                                                                                                                                                     https://search.proquest.com/openview/47a01ae575a88f4b8cea12c94d88c68c/1?pq-origsite=gscholar&cbl=18750&diss=y                                                                                          The labor market consequences of dropping out of high school.                                                                                                                                                                                                    King, Randall Howard. The labor market consequences of dropping out of high school. The Ohio State University, 1978.
                                                  The role of family risk attitudes in education and intergenerational mobility: An empirical analysis                                                                                                                                                                                                                                                                                       https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2197844                                                   The role of family risk attitudes in education and intergenerational mobility: An empirical analysis                                                                                                                                                                                      Huebener, Mathias. "The role of family risk attitudes in education and intergenerational mobility: An empirical analysis." (2012).
                                                              Human capital and incentives in the creation of inventions: A study of Finnish inventors                                                                                                                                                                                                                                                                                                  https://aaltodoc.aalto.fi/handle/123456789/11545                                                               Human capital and incentives in the creation of inventions: A study of Finnish inventors                                                                                                                                                                          Väänänen, Lotta. Human capital and incentives in the creation of inventions: A study of Finnish inventors. Helsinki School of Economics, 2010.
                                                                                                        Three Essays on the Economics of Human Capital                                                                                                                                                                                                                                     https://search.proquest.com/openview/775ff19fba04696b33f59eeaeef579f1/1?pq-origsite=gscholar&cbl=18750&diss=y                                                                                                         Three Essays on the Economics of Human Capital                                                                                                                                                                                                            Zimmer, Stephen. "Three Essays on the Economics of Human Capital." PhD diss., George Mason University, 2022.
                                                                                     Education in Cambodia: Rate of return and personal equity finance                                                                                                                                                                                                                                                                                                      https://core.ac.uk/download/pdf/43397176.pdf                                                                                      Education in Cambodia: Rate of return and personal equity finance                                                                                                                                                                                                                           Humphreys, John. "Education in Cambodia: Rate of return and personal equity finance." (2016).
                                                            Factors affecting labour productivity, skilled labour and returns to education in Malaysia                                                                                                                                                                                                                                                                           http://psasir.upm.edu.my/id/eprint/70206/1/FEP%202014%2023%20-%20IR.pdf                                                             Factors affecting labour productivity, skilled labour and returns to education in Malaysia                                                                                                                                                    Yunus, NORHANISHAH MOHAMAD. "Factors affecting labour productivity, skilled labour and returns to education in Malaysia." Serdang: Universiti Putra Malaysia (2014).
                                                                                                           Where are the returns to lifelong learning?                                                                                                                                                                                                                                                                                       https://link.springer.com/article/10.1007/s00181-018-1433-8                                                                                                            Where are the returns to lifelong learning?                                                                                                                                                                                           Coelli, Michael, and Domenico Tabasso. "Where are the returns to lifelong learning?." Empirical Economics 57 (2019): 205-237.
                                                                 Parametric and semi-parametric estimations of the return to schooling in South Africa                                                                                                                                                                                                                                                                                 https://www.academia.edu/download/3452578/up.26737.1082084771.pdf                                                                  Parametric and semi-parametric estimations of the return to schooling in South Africa                                                                                          Bhalotra, Sonia, and Claudia Sanhueza. "Parametric and semi-parametric estimations of the return to schooling in South Africa." In Conference Understanding Poverty and Growth in Sub-Saharan Africa, Oxford University. 2002.
                                                                               The economic return to investment in human capital in Turkey: 1968–1994                                                                                                                                                                                                                                     https://search.proquest.com/openview/10a5f6f03374d7cf6a82a640d3bd2a9e/1?pq-origsite=gscholar&cbl=18750&diss=y                                                                                The economic return to investment in human capital in Turkey: 1968–1994                                                                                                                                                                                        Kara, Orhan. The economic return to investment in human capital in Turkey: 1968–1994. The University of Wisconsin-Madison, 2000.
                                               Estimating returns to schooling in Indonesia: Evidence from the Indonesia Family Life Survey, 1993–2000                                                                                                                                                                                                                                     https://search.proquest.com/openview/f0b120f2c42ad2b38ecd04d59e50d5fb/1?pq-origsite=gscholar&cbl=18750&diss=y                                                Estimating returns to schooling in Indonesia: Evidence from the Indonesia Family Life Survey, 1993–2000                                                                                                                                        Pattinasarany, Gregorius Daan Vincent. Estimating returns to schooling in Indonesia: Evidence from the Indonesia Family Life Survey, 1993–2000. Michigan State University, 2003.
                                                                             The over-education wage penalty among PhD holders: a European perspective                                                                                                                                                                                                                                                                                       https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4158730                                                                              The over-education wage penalty among PhD holders: a European perspective                                                                                                                                                                       Rycx, François, Giulia Santosuosso, and Guillaume Vermeylen. "The over-education wage penalty among PhD holders: a European perspective." (2022).
                                                        Essays on the influence of selection and school quality on earnings and educational attainment                                                                                                                                                                                                                                     https://search.proquest.com/openview/b9328b90006a5e21e05d3c96afbb4589/1?pq-origsite=gscholar&cbl=18750&diss=y                                                         Essays on the influence of selection and school quality on earnings and educational attainment                                                                                                                       Bedi, Arjun Singh. "Essays on the influence of selection and school quality on earnings and educational attainment." PhD diss., Tulane University, Graduate Program in Biomedical Sciences, 1996.
                                                                                                                                          EENEE Report                                                                                                                                                                                                                                                                 http://www.education-economics.org/de/dms/EENEE/Analytical_Reports/EENEE_AR17.pdf                                                                                                                                           EENEE Report                                                                                                                                                                                                                                                          Brunello, Giorgio, and Maria De Paola. "EENEE Report." (2013).
                                                                                                                                          and training                                                                                                                                                                                     https://library.bsl.org.au/jspui/bitstream/1/4003/1/Individual%20returns%20to%20vocational%20education%20and%20trianing%20qualifications_CRyan_NCVER_2002.pdf                                                                                                                                           and training                                                                                                                                                                                                                                                                                    Ryan, Chris. "and training." (2002).
                                                                                                            Los rendimientos de la educación en México                                                                                                                                                                                                                                                                                                        https://www.econstor.eu/handle/10419/83779                                                                                                             Los rendimientos de la educación en México                                                                                                                                                                                                                  Morales-Ramos, Eduardo. Los rendimientos de la educación en México. No. 2011-07. Working Papers, 2011.
                                                                                                       Wage returns to training: evidence from Finland                                                                                                                                     https://www.researchgate.net/profile/Erkki-Laukkanen-3/publication/263931394_Wage_Returns_to_Training_Evidence_from_Finland/links/00b7d53c624bf64470000000/Wage-Returns-to-Training-Evidence-from-Finland.pdf                                                                                                        Wage returns to training: evidence from Finland                                                                                                                                                                                                        Laukkanen, Erkki. Wage returns to training: evidence from Finland. Labour Institute for Economic Research, 2010.
                                                                                         The role of government in post-secondary education in Ontario                                                                                                         https://www.researchgate.net/profile/W-Craig-Riddell/publication/242621894_The_Role_of_Government_in_Post-Secondary_Education_in_Ontario/links/541911470cf2218008bf4f9c/The-Role-of-Government-in-Post-Secondary-Education-in-Ontario.pdf                                                                                          The role of government in post-secondary education in Ontario                                                                                                                                                                                                                                                                                                      FAILED_TO_RETRIEVE
