                                                                                                                                          organic_result_title                                                                                                                                                                                                                                                                                                                               organic_result_link                                                                                                                                                 citation_title                                                                                                                                                                                                                                                 citation_snippet
                                                                                                                    Education and earnings inequality in Ghana                                                                                                                                                                                                                                                                                                   https://www.scirp.org/html/11-7201228_66194.htm                                                                                                                     Education and earnings inequality in Ghana                                                                                                                                                  Baffour, Priscilla Twumasi. "Education and earnings inequality in Ghana." Modern Economy 7, no. 04 (2016): 456.
                                                                                       Quantile estimates for social returns to education in Turkey: 2006–2009                                                                                                                                                                                                                                                                                     https://www.tandfonline.com/doi/abs/10.1142/S179381201350017X                                                                                        Quantile estimates for social returns to education in Turkey: 2006–2009                                                             Bakis, Ozan, Nurhan Davutyan, Haluk Levent, and Sezgin Polat. "Quantile estimates for social returns to education in Turkey: 2006–2009." Middle East Development Journal 5, no. 3 (2013): 1350017-1.
                                                                   Returns to education in criminal organizations: Did going to college help Michael Corleone?                                                                                                                                                                                                                                                                               https://www.sciencedirect.com/science/article/pii/S0272775716301303                                                                    Returns to education in criminal organizations: Did going to college help Michael Corleone?                                                      Campaniello, Nadia, Rowena Gray, and Giovanni Mastrobuoni. "Returns to education in criminal organizations: Did going to college help Michael Corleone?." Economics of Education Review 54 (2016): 242-258.
                                                                 Education and Labour Market Earnings in Low Income Countries: Empirical Evidence for Tanzania                                                                                                                                                                                                                                                                                  http://www.journals.udsm.ac.tz/index.php/tjpsd/article/view/3686                                                                  Education and Labour Market Earnings in Low Income Countries: Empirical Evidence for Tanzania                                                                       Joseph, Cornel. "Education and Labour Market Earnings in Low Income Countries: Empirical Evidence for Tanzania." Tanzania Journal for Population studies and Development 26, no. 2 (2020).
                                                                          Estimate of the private return on education in Indonesia: Evidence from sibling data                                                                                                                                                                                                                                                                               https://www.sciencedirect.com/science/article/pii/S0738059315000255                                                                           Estimate of the private return on education in Indonesia: Evidence from sibling data                                                                           Dumauli, Magdalena Triasih. "Estimate of the private return on education in Indonesia: Evidence from sibling data." International Journal of Educational Development 42 (2015): 14-24.
                                                                                                                           The changing economics of education                                                                                                                                                                                                                                                                                     https://link.springer.com/chapter/10.1007/978-1-349-02673-9_4                                                                                                                            The changing economics of education                                                                                                                                                                                Griliches, Zvi. The changing economics of education. Palgrave Macmillan UK, 1976.
                                                                                     Returns to apprenticeship training in Austria: Evidence from failed firms                                                                                                                                                                                                                                                                          https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9442.2008.00559.x                                                                                      Returns to apprenticeship training in Austria: Evidence from failed firms                                                           FERSTERER, Josef; PISCHKE, Jörn‐Steffen; WINTER‐EBMER, Rudolf. Returns to apprenticeship training in Austria: Evidence from failed firms. The Scandinavian Journal of Economics, 2008, 110.4: 733-753.
                                                                                                   Gender differences in costs and returns to higher education                                                                                                                                                                                                                                                      https://library.oapen.org/bitstream/handle/20.500.12657/30865/641516.pdf?sequence=1#page=253                                                                                                    Gender differences in costs and returns to higher education                                                                                                                                                         Sinning, Mathias. "Gender differences in costs and returns to higher education." AND GENDER (2017): 227.
                                   Are Returns to Schooling Concentrated Among the Most Able? A Semiparametric Analysis of the Ability–earnings Relationships1                                                                                                                                                                                                                                                                                   https://onlinelibrary.wiley.com/doi/abs/10.1111/1468-0084.00038                                    Are Returns to Schooling Concentrated Among the Most Able? A Semiparametric Analysis of the Ability–earnings Relationships1                                            Tobias, Justin L. "Are Returns to Schooling Concentrated Among the Most Able? A Semiparametric Analysis of the Ability–earnings Relationships 1." Oxford Bulletin of Economics and Statistics 65, no. 1 (2003): 1-29.
                                                                                                 Instrumenting Education and Returns to Schooling in Indonesia                                                                                                                                                                                                                                                                                     http://journal.uny.ac.id/index.php/economia/article/view/1807                                                                                                  Instrumenting Education and Returns to Schooling in Indonesia                                                                                                                                   Purnastuti, Losina. "Instrumenting Education and Returns to Schooling in Indonesia." Jurnal Economia 9, no. 2 (2013): 166-174.
                                                                                                        Heterogeneous returns to education in the labor market                                                                                                                                                                                                                                                                                       https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2129612                                                                                                         Heterogeneous returns to education in the labor market                                                    Fasih, Tazeen, Geeta Gandhi Kingdon, Harry A. Patrinos, Chris Sakellariou, and Måns Söderbom. "Heterogeneous returns to education in the labor market." World Bank Policy Research Working Paper 6170 (2012).
                                                       Returns to Education and Experience in Criminal Organizations: Evidence from the Italian-American Mafia                                                                                                                                                                                                                                                                                                             https://repository.essex.ac.uk/13795/                                                        Returns to Education and Experience in Criminal Organizations: Evidence from the Italian-American Mafia                                                                                    Campaniello, Nadia, Rowena Gray, and Giovanni Mastrobuoni. "Returns to Education and Experience in Criminal Organizations: Evidence from the Italian-American Mafia." (2015).
                                                                                      Using unemployment rates as instruments to estimate returns to schooling                                                                                                                                                                                                                                                                                 https://onlinelibrary.wiley.com/doi/abs/10.4284/sej.2010.76.3.711                                                                                       Using unemployment rates as instruments to estimate returns to schooling                                                                                                                  Arkes, Jeremy. "Using unemployment rates as instruments to estimate returns to schooling." Southern Economic Journal 76, no. 3 (2010): 711-722.
                                                                                         Education development in China: Education return, quality, and equity                                                                                                                                                                                                                                                                                                                       https://www.mdpi.com/493848                                                                                          Education development in China: Education return, quality, and equity                                                                                                       Guo, Lijia, Jiashun Huang, and You Zhang. "Education development in China: Education return, quality, and equity." Sustainability 11, no. 13 (2019): 3750.
                                                           The private and fiscal returns to higher education: a simulation approach for a young German cohort                                                                                                                                                                                                                                                                                                       https://www.econstor.eu/handle/10419/228537                                                            The private and fiscal returns to higher education: a simulation approach for a young German cohort                                                                                  Fischer, Benjamin, and Dominik Hügle. The private and fiscal returns to higher education: a simulation approach for a young German cohort. No. 2020/21. Discussion Paper, 2020.
                                               The relevance of standard estimates of rates of return to schooling for education policy: A critical assessment                                                                                                                                                                                                                                                                               https://www.sciencedirect.com/science/article/pii/S0304387896004154                                                The relevance of standard estimates of rates of return to schooling for education policy: A critical assessment                                                                     Glewwe, Paul. "The relevance of standard estimates of rates of return to schooling for education policy: A critical assessment." Journal of Development economics 51, no. 2 (1996): 267-290.
                                                                                             Access to higher education and inequality: The Chinese experiment                                                                                                                                                                                                                                                                                        https://papers.ssrn.com/sol3/papers.cfm?abstract_id=996402                                                                                              Access to higher education and inequality: The Chinese experiment                                                                                                                         Wang, Xiaojun, Belton M. Fleisher, Haizheng Li, and Li Shi. "Access to higher education and inequality: The Chinese experiment." (2007).
                                                                Estimating the return to investments in education: how useful is the standard Mincer equation?                                                                                                                                                                                                                                                                               https://www.sciencedirect.com/science/article/pii/S0272775701000036                                                                 Estimating the return to investments in education: how useful is the standard Mincer equation?                                                          Björklund, Anders, and Christian Kjellström. "Estimating the return to investments in education: how useful is the standard Mincer equation?." Economics of Education Review 21, no. 3 (2002): 195-210.
                                                                                                              Heterogeneity in the returns to higher education                                                                                                                                                                                                                                                                            https://www.sciencedirect.com/science/article/pii/B9780128153918000069                                                                                                               Heterogeneity in the returns to higher education                                                                                                                                 Walker, Ian. "Heterogeneity in the returns to higher education." In The Economics of Education, pp. 75-90. Academic Press, 2020.
                                                                                              Estimating the returns to education: Models, methods and results                                                                                                                                                                                                                                             https://eprints.lse.ac.uk/19536/1/Estimating_the_Returns_to_Education_Models,_Methods_and_Results.pdf                                                                                               Estimating the returns to education: Models, methods and results                                                                                                                            Blundell, Richard, Lorraine Dearden, and Barbara Sianesi. "Estimating the returns to education: Models, methods and results." (2001).
                                                                                                        Returns to schooling in Palestine: a Bayesian approach                                                                                                                                                                                                                                                                              https://www.inderscienceonline.com/doi/abs/10.1504/IJEED.2020.104285                                                                                                         Returns to schooling in Palestine: a Bayesian approach                                                                   Ayyash, Mohsen, Tareq Sadeq, and Siok Kun Sek. "Returns to schooling in Palestine: a Bayesian approach." International Journal of Education Economics and Development 11, no. 1 (2020): 37-57.
                                                                                                                                 Tax, Social Policy and Gender                                                                                                                                                                                                                                                                                                                                              None                                                                                                                                  Tax, Social Policy and Gender                                                                                                                                                                                                               Sinning, Mathias. "Tax, Social Policy and Gender."
                                                                            Conceptual framework for the analysis of the social benefits of lifelong learnings                                                                                                                                                                                                                                                                                     https://www.tandfonline.com/doi/abs/10.1080/09645299800000022                                                                             Conceptual framework for the analysis of the social benefits of lifelong learnings                                                                                                           McMahon, Walter W. "Conceptual framework for the analysis of the social benefits of lifelong learnings." Education economics 6, no. 3 (1998): 309-346.
                                                                                   The wage premium on tertiary education: New estimates for 21 OECD countries                                                                                                                                                                                                                                                                                       https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1860950                                                                                    The wage premium on tertiary education: New estimates for 21 OECD countries                                                                            Strauss, Hubert, and Christine De la Maisonneuve. "The wage premium on tertiary education: New estimates for 21 OECD countries." OECD Journal: Economic Studies 2009 (2009): 183-210.
                                                           Wage returns to university disciplines in Greece: are Greek higher education degrees Trojan Horses?                                                                                                                                                                                                                                                                                     https://www.tandfonline.com/doi/abs/10.1080/09645290903546363                                                            Wage returns to university disciplines in Greece: are Greek higher education degrees Trojan Horses?                                                                Livanos, Ilias, and Konstantinos Pouliakas. "Wage returns to university disciplines in Greece: are Greek higher education degrees Trojan Horses?." Education Economics 19, no. 4 (2011): 411-445.
                                                                                                Endogenous wage determinants and returns to education in Spain                                                                                                                                                                                                                                                                   https://www.emerald.com/insight/content/doi/10.1108/01437721011057001/full/html                                                                                                 Endogenous wage determinants and returns to education in Spain                                                                                Ruiz, Antonio Caparrós, Lucía Navarro Gómez, and Mario Rueda Narváez. "Endogenous wage determinants and returns to education in Spain." International Journal of Manpower (2010).
                                           Not All University Degrees Yield the Same Return: Private and Social Returns to Higher Education for Males in Spain https://www.researchgate.net/profile/Xavier-Ramos-2/publication/24138252_Not_All_University_Degrees_Yield_the_Same_Return_Private_and_Social_Returns_to_Higher_Education_for_Males_in_Spain/links/0912f50ea8f7d02141000000/Not-All-University-Degrees-Yield-the-Same-Return-Private-and-Social-Returns-to-Higher-Education-for-Males-in-Spain.pdf                                            Not All University Degrees Yield the Same Return: Private and Social Returns to Higher Education for Males in Spain                                               Oliver, Josep, Xavier Ramos, and José Luis Raymond. "Not All University Degrees Yield the Same Return: Private and Social Returns to Higher Education for Males in Spain." Departament d'Economia Aplicada (1999).
                                                                                                           Labour market consequences of a high school diploma                                                                                                                                                                                                                                                                                 https://www.tandfonline.com/doi/abs/10.1080/00036846.2018.1543939                                                                                                            Labour market consequences of a high school diploma                                                                                                Mazrekaj, Deni, Kristof De Witte, and Sarah Vansteenkiste. "Labour market consequences of a high school diploma." Applied Economics 51, no. 21 (2019): 2313-2325.
                                                                                   14 The effect of education and wage determination in China's rural industry                                                                                                                                                                                      https://www.taylorfrancis.com/chapters/edit/10.4324/9780203960912-25/effect-education-wage-determination-china-rural-industry-haizheng-li-aselia-urmanbetova                                                                                    14 The effect of education and wage determination in China's rural industry                                                                           Li, Haizheng, and Aselia Urmanbetova. "14 The effect of education and wage determination in China’s rural industry." Private Enterprises and China’s Economic Development (2007): 235.
                                                                                                         Returns to schooling for urban and migrant workers in                                                                                                                                                                                                                                                                                                                                              None                                                                                                          Returns to schooling for urban and migrant workers in                                                                                                                                                          Sakellariou, Christos, and Zheng Fang. "Returns to schooling for urban and migrant workers in." (2015).
                                                              Intergenerational mobility in Latin America: deeper markets and better schools make a difference                                                                                                                                                                                                                                      https://www.academia.edu/download/51408431/Intergenerational_mobility_in_Latin_Amer20170118-2337-1ojv4t9.pdf                                                               Intergenerational mobility in Latin America: deeper markets and better schools make a difference                         Behrman, Jere R., Nancy Birdsall, and Miguel Székely. Intergenerational mobility in Latin America: deeper markets and better schools make a difference. Vol. 3. Carnegie Endowment for International Peace, Global Policy Program, 1999.
                                                                         Is it ever too late to study? The economic returns on late tertiary degrees in Sweden                                                                                                                                                                                                                                                                               https://www.sciencedirect.com/science/article/pii/S0272775711001737                                                                          Is it ever too late to study? The economic returns on late tertiary degrees in Sweden                                                                                              Hällsten, Martin. "Is it ever too late to study? The economic returns on late tertiary degrees in Sweden." Economics of Education Review 31, no. 1 (2012): 179-194.
                                                                                                                                   4 The Changing Economics of                                                               https://books.google.com/books?hl=en&lr=&id=WUywCwAAQBAJ&oi=fnd&pg=PA35&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=ZsVaMyn1e1&sig=4RgBzdc-o1A6OdYlZ23FdTenJRI                                                                                                                                    4 The Changing Economics of                                                                                                                                                                 GRILICHES, Z. "4 The Changing Economics of." Resource Allocation and Economic Policy (1976): 35.
                                                                                       Returns to Schooling in Saint Lucia using a Mincerian Earning Framework                                                                                                                                                                                                                                                                                           https://www.finance.gov.lc/resources/download/2137/.pdf                                                                                        Returns to Schooling in Saint Lucia using a Mincerian Earning Framework                                                                                                                           Simeon, Nadia, Nadine Isidore, and Tommy Descartes. "Returns to Schooling in Saint Lucia using a Mincerian Earning Framework." (2020).
                                                                                                   Firm Productivity, Worker Ability, and Returns to Education                                                                                                                                                                                                                                                                                                    http://web.ceu.hu/labor/cost/Papers/Frazer.pdf                                                                                                    Firm Productivity, Worker Ability, and Returns to Education                                                                                                                                                                                    Frazer, Garth. "Firm Productivity, Worker Ability, and Returns to Education."
                                     Cost of poor health to the labour market returns to education in Australia: another pathway for socio-economic inequality                                                                                                                                                                                                                                                                                      https://link.springer.com/article/10.1007/s10198-020-01163-2                                      Cost of poor health to the labour market returns to education in Australia: another pathway for socio-economic inequality                        Doan, Tinh, Lyndall Strazdins, and Liana Leach. "Cost of poor health to the labour market returns to education in Australia: another pathway for socio-economic inequality." The European Journal of Health Economics 21 (2020): 635-648.
                                                                             Flexibility at a cost–should governments stimulate tertiary education for adults?                                                                                                                                                                                                                                                                               https://www.sciencedirect.com/science/article/pii/S2212828X16000025                                                                              Flexibility at a cost–should governments stimulate tertiary education for adults?                                                                              Stenberg, Anders, and Olle Westerlund. "Flexibility at a cost–should governments stimulate tertiary education for adults?." The Journal of the Economics of Ageing 7 (2016): 69-86.
                                                                                                   Human Capital and Productivity: A Labour Market Perspective                                                                                                                                                                                                                                                          https://www.emerald.com/insight/content/doi/10.1108/S0573-8555(2004)0000263009/full/html                                                                                                    Human Capital and Productivity: A Labour Market Perspective                   van Winden, Pieter, and Anne Reitsma. "Human Capital and Productivity: A Labour Market Perspective." In Fostering Productivity: Patterns, Determinants and Policy Implications, vol. 263, pp. 115-139. Emerald Group Publishing Limited, 2004.
                                                                                                                                 PACIFIC TRADE AND DEVELOPMENT                                                                                                                                                                                                                                                                                       https://paftad.org/wp-content/uploads/2018/04/35-05_Zhu.pdf                                                                                                                                  PACIFIC TRADE AND DEVELOPMENT                                                                                                                                                                                                                      Zhu, Rong. "PACIFIC TRADE AND DEVELOPMENT."
                                                                 Returns to schooling and potential signalling effects: Estimates based on ISSP data on Sweden                                                                                                                                                                                                                                                                              https://lup.lub.lu.se/student-papers/record/8947889/file/8947989.pdf                                                                  Returns to schooling and potential signalling effects: Estimates based on ISSP data on Sweden                                                                                                                  Bergman, Emil, and Carl-Gustav Schöön. "Returns to schooling and potential signalling effects: Estimates based on ISSP data on Sweden." (2018).
                                                                 Returns to schooling and potential signalling effects: Estimates based on ISSP data on Sweden                                                                                                                                                                                                                                                           https://lup.lub.lu.se/luur/download?func=downloadFile&recordOId=8947889&fileOId=8947989                                                                  Returns to schooling and potential signalling effects: Estimates based on ISSP data on Sweden                                                                                                                  Schöön, Carl-Gustav, and Emil Bergman. "Returns to schooling and potential signalling effects: Estimates based on ISSP data on Sweden." (2018).
                                                                                                                                      Signalling and screening                                                                                                                                                                                                                                                                                    https://www.elgaronline.com/downloadpdf/184376119X.pdf#page=70                                                                                                                                       Signalling and screening                                                                                                                           Brown, Sarah, and John G. Sessions. "Signalling and screening." International handbook on the economics of education 9 (2004): 58-100.
                                                                                                                        12 Returns to education in rural China                                                              https://books.google.com/books?hl=en&lr=&id=CPnZ6kbn1kcC&oi=fnd&pg=PA206&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=8pUzTTARo5&sig=wd0H-r_fkbUHC-Oc5whOPtJRHsQ                                                                                                                         12 Returns to education in rural China                                                                                                                                          De Brauw, Alan, and Scott Rozelle. "12 Returns to education in rural China." Education and reform in China (2007): 207.
                                                               The private internal rates of return to tertiary education: new estimates for 21 OECD countries                                                                                                                                                                                                                                                                                          https://www.oecd-ilibrary.org/content/paper/031008650733                                                                The private internal rates of return to tertiary education: new estimates for 21 OECD countries                                                                                                                  Boarini, Romina, and Hubert Strauss. "The private internal rates of return to tertiary education: new estimates for 21 OECD countries." (2007).
                                                                                                             Empirical evidence on human capital externalities                                                                                                                                      https://www.researchgate.net/profile/Jim-Davies-3/publication/5022150_Empirical_Evidence_on_Human_Capital_Externalities/links/5744925108aea45ee8537bb3/Empirical-Evidence-on-Human-Capital-Externalities.pdf                                                                                                              Empirical evidence on human capital externalities                                                                                                                                                                     Davies, Jim. Empirical evidence on human capital externalities. Department of Finance, 2003.
                                           Not all university degrees yield the same return: private and social returns to higher education for males in Spain                                                                                                                                                                                                                                                                                                                  https://ddd.uab.cat/record/44323                                            Not all university degrees yield the same return: private and social returns to higher education for males in Spain                                                         Ramos Morilla, Xavier, José Luis Raymond Bara, and Josep Oliver i Alonso. "Not all university degrees yield the same return: private and social returns to higher education for males in Spain." (1999).
                                                                                                       Happiness on tap: Piped water adoption in urban Morocco                                                                                                                                                                                                                                                                                             https://www.aeaweb.org/articles?id=10.1257/pol.4.4.68                                                                                                        Happiness on tap: Piped water adoption in urban Morocco                                              Devoto, Florencia, Esther Duflo, Pascaline Dupas, William Parienté, and Vincent Pons. "Happiness on tap: Piped water adoption in urban Morocco." American Economic Journal: Economic Policy 4, no. 4 (2012): 68-99.
                                                                                                               Nonmonetary Private Returns of Higher Education                                                                                                                                                                                                                                                                           https://link.springer.com/content/pdf/10.1007/978-94-017-8905-9_117.pdf                                                                                                                Nonmonetary Private Returns of Higher Education                                                      McMahon, Walter W. "Nonmonetary Private Returns of Higher Education." In The International Encyclopedia of Higher Education Systems and Institutions, pp. 2103-2108. Dordrecht: Springer Netherlands, 2020.
                                                                                                                             Human capital and rates of return                                                                                                                                                                                                                                                                                    https://www.elgaronline.com/downloadpdf/184376119X.pdf#page=13                                                                                                                              Human capital and rates of return                                                                                                      Psacharopoulos, George, and Harry Anthony Patrinos. "Human capital and rates of return." International handbook on the economics of education (2004): 1-57.
                                                                     Economic returns to schooling in urban China: OLS and the instrumental variables approach                                                                                                                                                                                                                                                                               https://www.sciencedirect.com/science/article/pii/S1043951X09000078                                                                      Economic returns to schooling in urban China: OLS and the instrumental variables approach                                                                          Guifu, C. H. E. N., and Shigeyuki Hamori. "Economic returns to schooling in urban China: OLS and the instrumental variables approach." China Economic Review 20, no. 2 (2009): 143-152.
                                                                                  Gary Becker's early work on human capital–collaborations and distinctiveness                                                                                                                                                                                                                                                                                       https://link.springer.com/article/10.1186/s40172-014-0012-2                                                                                   Gary Becker's early work on human capital–collaborations and distinctiveness                                                                                                             Teixeira, Pedro Nuno. "Gary Becker’s early work on human capital–collaborations and distinctiveness." IZA Journal of Labor Economics 3 (2014): 1-20.
                                                Returns to Education in China's Urban Labour Market: Evidence from Matched Employer-Employee Data for Shanghai                                                                                                                                                                                                                                                                                     https://link.springer.com/chapter/10.1007/978-3-642-54227-5_9                                                 Returns to Education in China's Urban Labour Market: Evidence from Matched Employer-Employee Data for Shanghai             Mishra, Vinod, and Russell Smyth. "Returns to Education in China’s Urban Labour Market: Evidence from Matched Employer-Employee Data for Shanghai." Urban China in the New Era: Market Reforms, Current State, and the Road Forward (2014): 169-183.
                                                                                      The urban labour market during structural adjustment: Ethiopia 1990-1997                                                                                                                                                                                                        https://ora.ox.ac.uk/objects/uuid:5e8f721d-36e6-4b04-aa64-d876d6556798/download_file?safe_filename=9809text.pdf&type_of_work=Working+paper                                                                                       The urban labour market during structural adjustment: Ethiopia 1990-1997                                                                                                                           Krishnan, Pramila, Stefan Dercon, and T. Selassie. "The urban labour market during structural adjustment: Ethiopia 1990-1997." (1998).
The labour market drop-out rate: a new approach to estimating the returns to Government investment in higher education: the case for marine science in South …                                                                                                                                                                                                                                                                                                     https://core.ac.uk/download/pdf/145055493.pdf The labour market drop-out rate: a new approach to estimating the returns to Government investment in higher education: the case for marine science in South …                                Grootes, Pieter Brian. "The labour market drop-out rate: a new approach to estimating the returns to Government investment in higher education: the case for marine science in South Africa." PhD diss., Rhodes University, 2004.
                                                                                     The higher returns to formal education for entrepreneurs versus employees                                                                                                                                                                                                                                                                                       https://link.springer.com/article/10.1007/s11187-012-9443-y                                                                                      The higher returns to formal education for entrepreneurs versus employees                                                                 Van Praag, Mirjam, Arjen van Witteloostuijn, and Justin van der Sluis. "The higher returns to formal education for entrepreneurs versus employees." Small Business Economics 40 (2013): 375-396.
                                                                                                                  Education and earnings in Nigeria, 1974-1992                                                                                                                                                                                                                                                                                                                                              None                                                                                                                   Education and earnings in Nigeria, 1974-1992                                                                                                       Morgan, Stephen L., and William R. Morgan. "Education and earnings in Nigeria, 1974-1992." Research in Social Stratification and Mobility 16 (1998): 3-26.
                                                                                               Characterization of returns to education in Portugal: 1986–2009                                                                                                                                                                                                                                                                                                                                              None                                                                                                Characterization of returns to education in Portugal: 1986–2009                                        Sousa, Sandra, Miguel Portela, and Carla Sá. "Characterization of returns to education in Portugal: 1986–2009." In 4th Linked Employer-Employee data (LEED) Workshop, Instituto Superior Técnico, Lisbon, Portugal. 2015.
                                                                                                                         Education and entrepreneurial success                                                                                                                                                                                                                                                                                       https://link.springer.com/article/10.1007/s11187-014-9621-1                                                                                                                          Education and entrepreneurial success                                                                                                                                              Kolstad, Ivar, and Arne Wiig. "Education and entrepreneurial success." Small Business Economics 44 (2015): 783-796.
                                                                             Rate of Return to Education: A Distributional Analysis Using the LifePaths Model.                                                                                                                                                                                                                                                                                                                  https://eric.ed.gov/?id=ED505310                                                                              Rate of Return to Education: A Distributional Analysis Using the LifePaths Model.                                                            BOOTHBY, Daniel; ROWE, Geoff. Rate of Return to Education: A Distributional Analysis Using the LifePaths Model. Human Resources Development Canada. Service Canada, Ottawa, ON K1A 0J9, Canada, 2002.
                                         How English domiciled graduate earnings vary with gender, institution attended, subject and socio-economic background                                                                                                                                                                                                                                                                                                       https://www.econstor.eu/handle/10419/173940                                          How English domiciled graduate earnings vary with gender, institution attended, subject and socio-economic background                                  Britton, Jack, Lorraine Dearden, Neil Shephard, and Anna Vignoles. How English domiciled graduate earnings vary with gender, institution attended, subject and socio-economic background. No. W16/06. IFS working papers, 2016.
                                                                                                                The Economic and Social Returns to FE Colleges                                                                                                                                                                                                                                                                                                                                              None                                                                                                                 The Economic and Social Returns to FE Colleges                                                                                                    Blanden, Jo, Mirko Draca, and Steven McIntosh. "The Economic and Social Returns to FE Colleges." A report for the Department for Education and Skills (2005).
                                                                            The returns to education in China: Evidence from the 1986 compulsory education law                                                                                                                                                                                                                                                                                                                https://www.nber.org/papers/w18189                                                                             The returns to education in China: Evidence from the 1986 compulsory education law                              Fang, Hai, Karen N. Eggleston, John A. Rizzo, Scott Rozelle, and Richard J. Zeckhauser. The returns to education in China: Evidence from the 1986 compulsory education law. No. w18189. National Bureau of Economic Research, 2012.
                                                                                                                               Returns to schooling in Uruguay                                                                                                                                                                                                                                                        https://www.colibri.udelar.edu.uy/jspui/bitstream/20.500.12008/2057/1/DT%20E%202006-14.pdf                                                                                                                                Returns to schooling in Uruguay                                                                                                                                                                Sanroman, Graciela. "Returns to schooling in Uruguay." Documento de Trabajo/FCS-DE; 14/06 (2006).
