organic_result_title,organic_result_link,citation_title,citation_snippet
The university and the economy: pathways to growth and economic development,https://books.google.com/books?hl=en&lr=&id=Ek7fBgAAQBAJ&oi=fnd&pg=PT9&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=lq6ZCLn-2w&sig=sgL65rgebKou82ZcOYlPS4z32e4,The university and the economy: pathways to growth and economic development,"Geuna, Aldo, and Federica Rossi. The university and the economy: pathways to growth and economic development. Edward Elgar Publishing, 2015."
Wages and on-the-job training in Tunisia,https://erf.org.eg/app/uploads/2014/07/762.pdf,Wages and on-the-job training in Tunisia,"Muller, Christophe, and Christophe J. Nordman. ""Wages and on-the-job training in Tunisia."" In Economic Research Forum Working Papers, no. 762. 2013."
Whither the Progressive Tax?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2350272,Whither the Progressive Tax?,"Dessy, Sylvain, and Safa Ragued. ""Whither the Progressive Tax?."" (2013)."
Four essays in economics of education,https://search.proquest.com/openview/d826bd602089a50579185d87a2f363bb/1?pq-origsite=gscholar&cbl=2026366,Four essays in economics of education,"de Sousa, Sandra Isabel Portas. ""Four essays in economics of education."" PhD diss., Universidade do Minho (Portugal), 2016."
Where are the returns to lifelong learning?,https://repository.essex.ac.uk/21661/,Where are the returns to lifelong learning?,"Tabasso, Domenico, and Michael Coelli. ""Where are the returns to lifelong learning?."" Empirical Economics 57, no. 1 (2019): 205-237."
"Creation and expansion of firms, human capital and economic growth in transition countries",https://search.proquest.com/openview/50968080abfa54b1ddbef1da3d6663af/1?pq-origsite=gscholar&cbl=18750&diss=y,"Creation and expansion of firms, human capital and economic growth in transition countries","Khitarishvili, Tamar. Creation and expansion of firms, human capital and economic growth in transition countries. University of Minnesota, 2003."
Essays on labor and product markets,https://search.proquest.com/openview/3c67c687e1d08ed823bdcb5d65fa77c3/1?pq-origsite=gscholar&cbl=18750,Essays on labor and product markets,"Lee, Hakki. ""Essays on labor and product markets."" PhD diss., University of Pittsburgh, 2016."
VERY PRELIMINARY DRAFT,https://www.aiel.it/Old/bacheca/UDINE/free/Pozzoli.pdf,VERY PRELIMINARY DRAFT,"Pozzoli, Dario. ""VERY PRELIMINARY DRAFT."" (2006)."
The risk of investment in human capital,https://books.google.com/books?hl=en&lr=&id=Y9LvTbwIyzkC&oi=fnd&pg=PP9&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=955ulH-2c9&sig=L92pooxrQktPnsCH8dd6TZIPsSU,The risk of investment in human capital,"Raita, Simona Maria. The risk of investment in human capital. No. 365. Rozenberg Publishers, 2005."
Better Lives,https://flagships.iadb.org/sites/default/files/dia/chapters/DIA-2018-Chapter-3-The-%28In%29Efficiency-of-Public-Spending.pdf,Better Lives,"Izquierdo, Alejandro, and Carola Pessino. ""Better Lives."""
High School Dropout and Youth Labour Market outcomes in Sub-Saharan Africa: Evidence from South Africa,https://scholar.archive.org/work/4qjyd4kd4nc27jikxfiznm5bmi/access/wayback/https://kar.kent.ac.uk/81160/1/228High_School_Dropout_and_Youth_Labour_Market_outcomes_in_Sub-Saharan_Africa_Ev.pdf,High School Dropout and Youth Labour Market outcomes in Sub-Saharan Africa: Evidence from South Africa,"Eigbiremolen, Godstime Osekhebhen. ""High School Dropout and Youth Labour Market outcomes in Sub-Saharan Africa: Evidence from South Africa."" PhD diss., University of Kent, 2019."
Critical issues in China's growth and development,https://www.taylorfrancis.com/books/mono/10.4324/9781351160681/critical-issues-china-growth-development-eden-yu,Critical issues in China's growth and development,"Eden, S. H. Critical issues in China's growth and development. Routledge, 2017."
The wage effects of over-education among young STEM graduates,https://www.worldscientific.com/doi/abs/10.1142/S0217590817500059,The wage effects of over-education among young STEM graduates,"Park, Kihong, and Dooseok Jang. ""The wage effects of over-education among young STEM graduates."" The Singapore Economic Review 64, no. 05 (2019): 1351-1370."
Schooling and citizenship: evidence from compulsory schooling reforms,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=961381,Schooling and citizenship: evidence from compulsory schooling reforms,"Siedler, Thomas. ""Schooling and citizenship: evidence from compulsory schooling reforms."" (2007)."
Local human capital externalities and wages at the firm level: The case of Italian Manufacturing,https://www.aiel.it/Old/bacheca/PESCARA/papers/Bratti.pdf,Local human capital externalities and wages at the firm level: The case of Italian Manufacturing,"Bratti, M., and M. Leombruni. ""Local human capital externalities and wages at the firm level: The case of Italian Manufacturing."" AIEL version (2010)."
If at First You Don't Succeed,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=ba70033fd5bc1bfe2f6f02426c14eb4ad4598ee0,If at First You Don't Succeed,"Drewes, Torben, and Tyler Meredith. ""If at First You Don’t Succeed."""
What we learn in school: Cognitive and non-cognitive skills in the educational production function,https://academiccommons.columbia.edu/doi/10.7916/D8FF40KP,What we learn in school: Cognitive and non-cognitive skills in the educational production function,"García García, María Emma. ""What we learn in school: Cognitive and non-cognitive skills in the educational production function."" PhD diss., Columbia University, 2013."
Skill Development in India and Its Labour Market Outcomes,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4237546,Skill Development in India and Its Labour Market Outcomes,"Jain, Neha. ""Skill Development in India and Its Labour Market Outcomes."" Available at SSRN 4237546 (2022)."
The Effect of VET Completion on the Wages of Young People.,https://eric.ed.gov/?id=ED521740,The Effect of VET Completion on the Wages of Young People.,"Herault, Nicolas, Rezida Zakirova, and Hielke Buddelmeyer. The Effect of VET Completion on the Wages of Young People. National Centre for Vocational Education Research Ltd. PO Box 8288, Stational Arcade, Adelaide, SA 5000, Australia, 2011."
Essays on schooling and child labour in Portugal,https://repub.eur.nl/pub/26111/FinalThesis-2.pdf,Essays on schooling and child labour in Portugal,"GOULART, Pedro. Essays on schooling and child labour in Portugal. 2011."
Post-Secondary Schooling Quality and Manufacturing Capacity in Africa,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2539489,Post-Secondary Schooling Quality and Manufacturing Capacity in Africa,"Adeolu, Adewole Musiliu, and Oluyomi Ola-David. ""Post-Secondary Schooling Quality and Manufacturing Capacity in Africa."" Available at SSRN 2539489 (2014)."
Cost-benefit analysis applied to labour market programmes,https://www.elgaronline.com/downloadpdf/9781847200693.pdf#page=175,Cost-benefit analysis applied to labour market programmes,"CAMPOLIETI, Michele; GUNDERSON, Morley. Cost-benefit analysis applied to labour market programmes. Handbook of Research on Cost-Benefit Analysis. US: Edward Elgar, 2009, 161-184."
State of knowledge review of the wider benefits of adult learning,https://www.srdc.org/media/199754/adult-learning-state-of-knowledge.pdf,State of knowledge review of the wider benefits of adult learning,"Myers, Karen, Marc Frenette, Arthur Sweetman, B. Dostle, and Christopher Langlois. State of knowledge review of the wider benefits of adult learning. Social Research and Demonstration Corporation, 2014."
"Three essays on migration, education, and household development in rural China",https://search.proquest.com/openview/a38cfd4426a81e6f2f397c907144ccb7/1?pq-origsite=gscholar&cbl=18750&diss=y,"Three essays on migration, education, and household development in rural China","De Brauw, Alan D. Three essays on migration, education, and household development in rural China. University of California, Davis, 2002."
The capability approach to understanding student outcomes: Expanding the concept of human capital,https://search.proquest.com/openview/f3937ad1eb63bd5b8ac0384afa9f38e7/1?pq-origsite=gscholar&cbl=18750,The capability approach to understanding student outcomes: Expanding the concept of human capital,"Rafaj, Maria. The capability approach to understanding student outcomes: Expanding the concept of human capital. American University, 2011."
"The Impact of Student Performance on Large-Scale Assessments: A View of Long-Term Health, Career, and Societal Outcomes",https://scholarship.shu.edu/dissertations/2009/,"The Impact of Student Performance on Large-Scale Assessments: A View of Long-Term Health, Career, and Societal Outcomes","Usatin, Roman. ""The Impact of Student Performance on Large-Scale Assessments: A View of Long-Term Health, Career, and Societal Outcomes."" (2014)."
Essays on educational achievement,https://search.proquest.com/openview/99f8b3f64922435f693f727feb3c53db/1?pq-origsite=gscholar&cbl=18750,Essays on educational achievement,"Ampaabeng, Samuel Kofi. Essays on educational achievement. Clark University, 2013."
THE BEST AND BRIGHTEST OR JUST MEDIOCRE?,https://research.cbs.dk/files/60749807/236274_THESIS2.0_FINAL_withoutCPR.pdf,THE BEST AND BRIGHTEST OR JUST MEDIOCRE?,"Smid, Sina. ""THE BEST AND BRIGHTEST OR JUST MEDIOCRE?."" (2017)."
The impact of developmental education on community college persistence and vertical transfer,https://journals.sagepub.com/doi/pdf/10.1177/0091552113516488,The impact of developmental education on community college persistence and vertical transfer,"Crisp, Gloria, and Chryssa Delgado. ""The impact of developmental education on community college persistence and vertical transfer."" Community College Review 42, no. 2 (2014): 99-117."
Transfer of learning between higher education and the workplace,https://etheses.whiterose.ac.uk/17719/,Transfer of learning between higher education and the workplace,"Oliveira, Gisela Maria Dias Ferreira. ""Transfer of learning between higher education and the workplace."" PhD diss., University of Leeds, 2017."
On interaction and efficiency: prematch investments with hidden characteristics,https://open.library.ubc.ca/soa/cIRcle/collections/ubctheses/24/items/1.0066903,On interaction and efficiency: prematch investments with hidden characteristics,"Bidner, Christopher. ""On interaction and efficiency: prematch investments with hidden characteristics."" PhD diss., University of British Columbia, 2008."
Safer elections and women turnout: Evidence from India,https://www.isid.ac.in/~epu/acegd2017/papers/DivyaSingh.pdf,Safer elections and women turnout: Evidence from India,"Singh, Divya. Safer elections and women turnout: Evidence from India. Working Paper, 2017."
Investment efficiency and the distribution of wealth,https://books.google.com/books?hl=en&lr=&id=YQyQuK-vgmQC&oi=fnd&pg=PA71&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=RFX93sohlk&sig=ElEneB_ug4XFoQ78IGIwGN_QRuY,Investment efficiency and the distribution of wealth,"Banerjee, Abhijit V. Investment efficiency and the distribution of wealth. World Bank, 2009."
Labor markets in developing countries: Usual trends in unusual economies,https://search.proquest.com/openview/ab5263764e9569aec01532dffa8e57f2/1?pq-origsite=gscholar&cbl=18750&diss=y,Labor markets in developing countries: Usual trends in unusual economies,"Bassi, Marina. Labor markets in developing countries: Usual trends in unusual economies. University of California, Los Angeles, 2004."
Rethinking the role of human Capital in Growth Models,https://link.springer.com/article/10.1007/s11138-021-00561-w,Rethinking the role of human Capital in Growth Models,"Zimmer, Stephen G. ""Rethinking the role of human Capital in Growth Models."" The Review of Austrian Economics (2021): 1-22."
Human capital and productivity in the Irish context,https://www.researchgate.net/profile/Eleanor-Doyle-2/publication/253066022_Human_Capital_and_Productivity_in_the_Irish_Context/links/0deec52979276c8775000000/Human-Capital-and-Productivity-in-the-Irish-Context.pdf,Human capital and productivity in the Irish context,"Kavanagh, Catherine, and Eleanor Doyle. ""Human capital and productivity in the Irish context."" Dublin: Expert Group on Future Skills Need (2006)."
Essays on Student Higher Education Participation and Attainment in the United Kingdom,https://kclpure.kcl.ac.uk/portal/files/181475635/2022_Nwosu_Chiamaka_1726476_ethesis.pdf,Essays on Student Higher Education Participation and Attainment in the United Kingdom,"Nwosu, Chiamaka. ""Essays on Student Higher Education Participation and Attainment in the United Kingdom."" PhD diss., King's College London, 2022."
Does what you export matter?: In search of empirical guidance for industrial policies,https://books.google.com/books?hl=en&lr=&id=On0t8es-s6sC&oi=fnd&pg=PR9&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=1aZg4vftyR&sig=9WhNsKPDgDDbhJVvvl6ZPkC0RyI,Does what you export matter?: In search of empirical guidance for industrial policies,"Lederman, Daniel, and William Maloney. Does what you export matter?: In search of empirical guidance for industrial policies. World Bank Publications, 2012."
Essays on Language Skills and Labour Market Outcomes,https://scholar.archive.org/work/roik7a5f2nfavdbkky2s46z4vy/access/wayback/https://digikogu.taltech.ee/et/Download/c7767416-54c1-4f74-9eee-452aca12adbd/EssaysonLanguageSkillsandLabourMarketOutcom.pdf,Essays on Language Skills and Labour Market Outcomes,"Ridala, Svetlana. ""Essays on Language Skills and Labour Market Outcomes."""
About the research,https://www.ncver.edu.au/__data/assets/file/0013/4063/2379.docx,About the research,"Hérault, Nicolas, Rezida Zakirova, and Hielke Buddelmeyer. ""About the research."""
Adoption and impacts of renewable energy: Evidence from a randomized controlled trial in rural Kenya,https://www.research-collection.ethz.ch/handle/20.500.11850/330108,Adoption and impacts of renewable energy: Evidence from a randomized controlled trial in rural Kenya,"Rom, Adina. ""Adoption and impacts of renewable energy: Evidence from a randomized controlled trial in rural Kenya."" PhD diss., ETH Zurich, 2018."
"Leading locally, competing globally: Measuring the University of Wollongong's contribution to economic and social prosperity",https://ro.uow.edu.au/buspapers/172/,"Leading locally, competing globally: Measuring the University of Wollongong's contribution to economic and social prosperity","Braithwaite, Brad, Guy West, Charles Harvie, and Nick Hartgerink. ""Leading locally, competing globally: Measuring the University of Wollongong's contribution to economic and social prosperity."" (2013)."
National VET Research Report Austria,https://irihs.ihs.ac.at/id/eprint/5743/1/ihs-report-2009-lassnigg-vogtenhuber-et-al-national-vet-research-report-austria.pdf,National VET Research Report Austria,"BRANDSTETTER, Genoveva, et al. National VET Research Report Austria. 2009."
State of the Nation: A review of evidence on the supply and demand of quantitative skills,https://www.mei.org.uk/app/uploads/2021/08/BA-NIESR_State_of_the_Nation_-_A_review_of_evidence_on_the_supply_and_demand_of_QS.pdf,State of the Nation: A review of evidence on the supply and demand of quantitative skills,"Mason, Geoff, Max Nathan, and Anna Rosso. ""State of the Nation: A review of evidence on the supply and demand of quantitative skills."" (2015)."
"Four Essays in Labor Economics and Microeconometrics: Effects of Educational, Marital, and Fertility Decisions on Labor Market Outcomes",https://ynu.repo.nii.ac.jp/?action=repository_action_common_download&item_id=8215&item_no=1&attribute_id=20&file_no=1,"Four Essays in Labor Economics and Microeconometrics: Effects of Educational, Marital, and Fertility Decisions on Labor Market Outcomes","Zhang, Junchao. ""Four Essays in Labor Economics and Microeconometrics: Effects of Educational, Marital, and Fertility Decisions on Labor Market Outcomes."" PhD diss., Yokohama National University, 2017."
The impact of labor market conditions on choice of college major,https://search.proquest.com/openview/90c3ce7103f9554e68028eb624ddb50d/1?pq-origsite=gscholar&cbl=18750,The impact of labor market conditions on choice of college major,"Lee, Uisok. The impact of labor market conditions on choice of college major. Columbia University, 2010."
Does Diversity Matter?: Evidence from the Relationship Between an Institution's Diversity and the Salaries of its Graduates,https://search.proquest.com/openview/a6b0ec197dba2cbab240c76e76614571/1?pq-origsite=gscholar&cbl=18750,Does Diversity Matter?: Evidence from the Relationship Between an Institution's Diversity and the Salaries of its Graduates,"Lynch, Douglas. Does Diversity Matter?: Evidence from the Relationship Between an Institution's Diversity and the Salaries of its Graduates. Columbia University, 2013."
The role of education in wage determination in Poland,http://depotuw.ceon.pl/handle/item/3981,The role of education in wage determination in Poland,"Broniatowska, Paulina. ""The role of education in wage determination in Poland."" (2021)."
The use of and training provision for healthcare assistants and support workers in the National Health Service in England,https://search.proquest.com/openview/ee2046d1f505248fd470b5f0c16b33fc/1?pq-origsite=gscholar&cbl=51922&diss=y,The use of and training provision for healthcare assistants and support workers in the National Health Service in England,"Knibb, Wendy Jane. The use of and training provision for healthcare assistants and support workers in the National Health Service in England. University of Surrey (United Kingdom), 2005."
eport 4,https://www.academia.edu/download/30789756/NCVERReport4Theeconomicsofapprenticeshipstraineeships.pdf,eport 4,"KARMEL, TOM, and JOHN RICE. ""eport 4."" (2011)."
Inwiefern zahlt sich Bildung aus? Bildungsrenditen aus individueller und gesellschaftlicher Sicht,https://link.springer.com/chapter/10.1007/978-3-531-19071-6_16,Inwiefern zahlt sich Bildung aus? Bildungsrenditen aus individueller und gesellschaftlicher Sicht,"Rudin, Melania. ""Inwiefern zahlt sich Bildung aus? Bildungsrenditen aus individueller und gesellschaftlicher Sicht."" Bildung–Arbeit–Erwachsenwerden: Ein interdisziplinärer Blick auf die Transition im Jugend und jungen Erwachsenenalter (2012): 333-352."
Bildungsökonomie,https://link.springer.com/chapter/10.1007/978-3-531-92015-3_5,Bildungsökonomie,"Hummelsheim, Stefan, and Dieter Timmermann. Bildungsökonomie. VS Verlag für Sozialwissenschaften, 2010."
Do spillovers justify subsidies to commercial R&D?,https://www.academia.edu/download/78358395/Moen_2002.pdf,Do spillovers justify subsidies to commercial R&D?,"Moen, Jarle. ""Do spillovers justify subsidies to commercial R&D?."""
Bildungsökonomie,https://link.springer.com/chapter/10.1007/978-3-531-19981-8_4,Bildungsökonomie,"Hummelsheim, Stefan, and Dieter Timmermann. ""Bildungsökonomie."" Handbuch Bildungsforschung (2018): 101-153."
Inntektseffekter av utdanning i Norge: en litteraturoversikt,https://www.frisch.uio.no/publikasjoner/pdf/arbnot99_02.pdf,Inntektseffekter av utdanning i Norge: en litteraturoversikt,"Raaum, Oddbjørn. ""Inntektseffekter av utdanning i Norge: en litteraturoversikt."" Arbeidsnotat 2 (1999): 1999."
2. Grundlagen der bildungsökonomischen Forschung,https://books.google.com/books?hl=en&lr=&id=KtVioO27V4cC&oi=fnd&pg=PA93&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=lr-dwa4we5&sig=TvBhP0DM63_FaLQgKTvOEdNYzaY,2. Grundlagen der bildungsökonomischen Forschung,"Hummelsheim, Stefan, and Dieter Timmermann. ""2. Grundlagen der bildungsökonomischen Forschung."" Handbuch Bildungsforschung (2010): 93."
Czy w Polsce opłaca się studiować? Wyniki modelu inwestycji w wyższe wykształcenie,http://coin.wne.uw.edu.pl/pstrawinski/publ/oplacal.pdf,Czy w Polsce opłaca się studiować? Wyniki modelu inwestycji w wyższe wykształcenie,"Strawiński, Paweł. ""Czy w Polsce opłaca się studiować? Wyniki modelu inwestycji w wyższe wykształcenie."" (2007)."
Efekt zewnętrzny wykształcenia,https://bibliotekanauki.pl/articles/575744.pdf,Efekt zewnętrzny wykształcenia,"Strawiński, Paweł. ""Efekt zewnętrzny wykształcenia."" Gospodarka Narodowa. The Polish Journal of Economics 232, no. 5-6 (2009): 39-60."
ZEWNĘTRZNY ZWROT Z WYKSZTAŁCENIA,http://coin.wne.uw.edu.pl/pstrawinski/publ/external_pl.pdf,ZEWNĘTRZNY ZWROT Z WYKSZTAŁCENIA,"Strawiński, Paweł. ""ZEWNĘTRZNY ZWROT Z WYKSZTAŁCENIA."""
OS RETORNOS SALARIAIS À EDUCAÇÃO NAS ÁREAS STEM E NÃO-STEM PARA ESTUDANTES GRADUADOS NA UNIVERSIDADE DE AVEIRO,https://core.ac.uk/download/pdf/157771861.pdf,OS RETORNOS SALARIAIS À EDUCAÇÃO NAS ÁREAS STEM E NÃO-STEM PARA ESTUDANTES GRADUADOS NA UNIVERSIDADE DE AVEIRO,"Augusto, André, and Oliveira Souta. ""OS RETORNOS SALARIAIS À EDUCAÇÃO NAS ÁREAS STEM E NÃO-STEM PARA ESTUDANTES GRADUADOS NA UNIVERSIDADE DE AVEIRO."""
