var_name,var_name_verbose,data_type,group_category,na_handling,variable_summary,effect_sum_stats,equal,gtlt,bma_potential_var,bma,to_log_for_bma,bpe
health_control,Control - Health,int,39,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
gender_control,Control - Gender,int,39,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
marriage_control,Control - Marriage,int,39,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
occupation_control,Control - Occupation,int,39,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
firm_char_control,Control - Firm Characteristics,int,39,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
area_control,Control - Area,int,39,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
macro_var_control,Control - Macro Variables,int,39,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
impact_factor,Impact Factor,float,40,stop,TRUE,TRUE,NA,median,TRUE,TRUE,TRUE,max
citations,Citations,int,41,stop,TRUE,TRUE,NA,median,TRUE,TRUE,TRUE,max
published,Study - Published,dummy,42,stop,TRUE,TRUE,1,NA,TRUE,TRUE,FALSE,mean
unpublished,Study - Unpublished,dummy,42,stop,TRUE,TRUE,1,NA,FALSE,FALSE,FALSE,stop
pub_year,Publication Year,int,43,stop,TRUE,TRUE,NA,median,FALSE,FALSE,TRUE,stop
effect_w,Transformed Effect - Winsorized,float,44,allow,FALSE,FALSE,NA,NA,TRUE,TRUE,FALSE,stop
se_w,Standard Error - Winsorized,float,45,allow,FALSE,FALSE,NA,NA,TRUE,TRUE,FALSE,0
se_precision_w,Precision - Winsorized,float,46,allow,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
t_w,T-Statistic - Winsorized,float,47,allow,FALSE,TRUE,NA,median,FALSE,FALSE,FALSE,stop
significant_w,T-Statistic Is Significant - Winsorized,float,48,allow,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,stop
