obs_n,study_id,study_name,effect,se,t_stat,95_lower,95_upper,pcc,se_pcc,se_pcc_precision,est_short_run,est_long_run,est_agg_city,est_agg_subregion,est_agg_region,est_agg_country,est_agg_continent,n_obs,regressands,reg_df,study_size,years_of_schooling,years_of_experience,schooling_years,schooling_levels,wage_log_hourly,wage_log_daily,wage_log_monthly,wage_mean_annual_earnings,data_type_micro,data_type_survey,data_type_national_register,data_cross_section,data_panel,data_avgyear,no_ed,prim_ed,sec_ed,higher_ed,wage_earners,self_employed,gender_male,gender_female,private_sector,public_sector,ethnicity_caucasian,ethnicity_other,sector_rural,sector_urban,country,region_advanced_economies,region_east_asia_and_pacific,region_europe_and_central_asia,region_latin_america_and_caribbean,region_middle_east_and_north_africa,region_south_asia,region_sub_saharan_africa,income_high,income_middle,income_low,med_exp,min_wage,freedom_index,mean_age,method_ols,method_hurdle,method_cohort,method_fe,method_2sls,method_heckman,method_probit,method_IV,ability_direct,ability_proxy,ability_uncontrolled,ability_unmentioned,instr_parents_ed,instr_distance_to_school,instr_other,age_control,age_sq_control,exp_control,exp_sq_control,ethnicity_control,health_control,gender_control,marriage_control,occupation_control,firm_char_control,area_control,macro_var_control,impact_factor,citations,published,unpublished,pub_year,effect_w,se_w,se_precision_w,t_w,significant_w,X
11,2,Bartolj et al. (2013),9.652252282712093,0.49007020419951025,19.695652173913043,9.162182078512583,10.142322486911603,0.06569418830162235,0.003335466514210406,299.8081365049251,1,0,0,0,0,1,0,89504,6,89497,48,20,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
12,2,Bartolj et al. (2013),8.017969222723531,0.6881690151239757,11.651162790697676,7.329800207599556,8.706138237847506,0.03891669141647513,0.0033401551515138328,299.3872903020022,1,0,0,0,0,1,0,89504,6,89497,48,22,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
13,2,Bartolj et al. (2013),6.08845115109895,1.0042806022431259,6.0625,5.084170548855824,7.092731753342076,0.02026088235304261,0.0033420012128730077,299.2219141477609,1,0,0,0,0,1,0,89504,6,89497,48,16,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
14,2,Bartolj et al. (2013),8.849056977364178,0.16759577608644274,52.800000000000004,8.681461201277735,9.016652753450622,0.17380759120628742,0.003291810439513019,303.78419972078865,1,0,0,0,0,1,0,89504,6,89497,48,18,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
15,2,Bartolj et al. (2013),9.337244470774353,0.33347301681336977,27.999999999999996,9.003771453960983,9.670717487587723,0.09318796993382966,0.00332814178335106,300.46796834271703,1,0,0,0,0,1,0,89504,6,89497,48,20,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
16,2,Bartolj et al. (2013),7.769907576827317,0.35575019082247866,21.84090909090909,7.414157386004839,8.125657767649797,0.07281353833399318,0.0033338144502556713,299.956705725872,1,0,0,0,0,1,0,89504,6,89497,48,22,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
17,2,Bartolj et al. (2013),4.981100150790518,1.7766981429571278,2.8035714285714284,3.204402007833391,6.757798293747646,0.009602180877612236,0.0034249817143075494,291.97236172753594,1,0,0,0,0,1,0,85247,6,85240,48,16,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
18,2,Bartolj et al. (2013),8.331252560617308,0.3386688032771264,24.599999999999998,7.9925837573401814,8.669921363894435,0.08396092216302176,0.003413045616382999,292.99344702569715,1,0,0,0,0,1,0,85247,6,85240,48,18,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
19,2,Bartolj et al. (2013),10.448340952671288,0.9980504790611381,10.468749999999998,9.45029047361015,11.446391431732426,0.0358339016253936,0.003422939856754016,292.14652954735317,1,0,0,0,0,1,0,85247,6,85240,48,20,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
20,2,Bartolj et al. (2013),7.702570339126136,5.66747017584123,1.3590844062947067,2.0351001632849055,13.370040514967366,0.004655003411473102,0.003425102510125998,291.96206450568786,1,0,0,0,0,1,0,85247,6,85240,48,22,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
21,2,Bartolj et al. (2013),5.8807249810217455,1.32080454119205,4.452380952380952,4.559920439829695,7.201529522213796,0.015248253414745982,0.0034247414086595257,291.99284870719885,1,0,0,0,0,1,0,85247,6,85240,48,16,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
22,2,Bartolj et al. (2013),7.4305815657685015,0.2586049268828945,28.73333333333333,7.1719766388856065,7.689186492651396,0.09794250321299063,0.003408671805556518,293.36939929795756,1,0,0,0,0,1,0,85247,6,85240,48,18,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
23,2,Bartolj et al. (2013),7.6928921298799136,0.5769669097409934,13.333333333333336,7.11592522013892,8.269859039620908,0.045620979160125356,0.003421573437009401,292.2631994928164,1,0,0,0,0,1,0,85247,6,85240,48,20,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
24,2,Bartolj et al. (2013),7.65954335620771,1.1452763660925631,6.6879432624113475,6.514266990115146,8.804819722300273,0.02290113169707922,0.003424241324801877,292.03549199554703,1,0,0,0,0,1,0,85247,6,85240,48,22,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
25,2,Bartolj et al. (2013),4.3114431330610214,1.0539083214149163,4.090909090909091,3.257534811646105,5.365351454475938,0.01401055950018369,0.0034248034333782353,291.98756058638884,1,0,0,0,0,1,0,85247,6,85240,48,16,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
26,2,Bartolj et al. (2013),6.838516016464702,0.1918971331150809,35.63636363636364,6.646618883349621,7.030413149579783,0.12116030287901809,0.003399906458339793,294.12573912057263,1,0,0,0,0,1,0,85247,6,85240,48,18,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
27,2,Bartolj et al. (2013),7.294727911053189,0.36645414937786824,19.90625,6.928273761675321,7.661182060431058,0.06802375643759012,0.0034172059748867885,292.63673520093556,1,0,0,0,0,1,0,85247,6,85240,48,20,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
28,2,Bartolj et al. (2013),6.1836074743852,0.5872699836008292,10.52941176470588,5.596337490784371,6.770877457986029,0.03604127425264799,0.0034229143144972954,292.1487095848803,1,0,0,0,0,1,0,85247,6,85240,48,22,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
29,2,Bartolj et al. (2013),10.520944959211608,1.9839496208799032,5.303030303030303,8.536995338331705,12.504894580091511,0.018666842736476272,0.0035200332017355255,284.08822948231216,1,0,0,0,0,1,0,80686,7,80678,48,16,6.28,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
30,2,Bartolj et al. (2013),8.877536588007406,0.40200165681542965,22.083333333333336,8.475534931191977,9.279538244822835,0.07751369312102105,0.0035100540281217075,284.89589960389236,1,0,0,0,0,1,0,80686,7,80678,48,18,6.28,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
31,2,Bartolj et al. (2013),10.170825541570716,0.9646556183757793,10.543478260869565,9.206169923194937,11.135481159946496,0.0370943142943983,0.003518223623798602,284.23434861718846,1,0,0,0,0,1,0,80686,7,80678,48,20,6.28,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
32,2,Bartolj et al. (2013),8.866108106197057,2.2088039358644234,4.013986013986014,6.657304170332633,11.07491204206148,0.014130415467976604,0.0035202951427189097,284.06709081433644,1,0,0,0,0,1,0,80686,7,80678,48,22,6.28,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
33,2,Bartolj et al. (2013),10.302199320664297,1.3856759320191743,7.434782608695653,8.916523388645123,11.68787525268347,0.026166280131447194,0.003519441187270674,284.136016711079,1,0,0,0,0,1,0,80686,7,80678,48,16,6.28,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
34,2,Bartolj et al. (2013),8.792008174013732,0.2516796233019198,34.93333333333334,8.540328550711813,9.043687797315652,0.1220681841708002,0.0034943182491641274,286.17885627309676,1,0,0,0,0,1,0,80686,7,80678,48,18,6.28,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
35,2,Bartolj et al. (2013),9.17767573611512,0.5080692103620855,18.063829787234045,8.669606525753034,9.685744946477206,0.06346814282623983,0.003513548542795373,284.61254706457015,1,0,0,0,0,1,0,80686,7,80678,48,20,6.28,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
36,2,Bartolj et al. (2013),7.535845428473764,0.702148111428758,10.732558139534886,6.833697317045006,8.237993539902522,0.037758599513370905,0.003518136032665111,284.24142520790053,1,0,0,0,0,1,0,80686,7,80678,48,22,6.28,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
37,2,Bartolj et al. (2013),5.940158462478817,1.0685999350490993,5.558823529411765,4.871558527429718,7.008758397527917,0.019566906583893002,0.0035199726129754604,284.0931194503505,1,0,0,0,0,1,0,80686,7,80678,48,16,6.28,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
38,2,Bartolj et al. (2013),8.476080955730648,0.18573085759569147,45.63636363636364,8.290350098134956,8.66181181332634,0.15863499997865846,0.003476065736584149,287.68155604061656,1,0,0,0,0,1,0,80686,7,80678,48,18,6.28,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
39,2,Bartolj et al. (2013),8.991146503041957,0.3370320938262402,26.67741935483871,8.654114409215717,9.328178596868197,0.09351023161198753,0.003505220290171237,285.28877423311616,1,0,0,0,0,1,0,80686,7,80678,48,20,6.28,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
40,2,Bartolj et al. (2013),7.348137221671669,0.3620582729603062,20.295454545454547,6.986078948711363,7.710195494631975,0.07127141567119533,0.0035116934933175754,284.76289343102025,1,0,0,0,0,1,0,80686,7,80678,48,22,6.28,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,27.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,NA,NA,NA,NA,NA,X
