Study title,Link,Citation,
Returns to education in developing countries,https://www.sciencedirect.com/science/article/pii/B9780128153918000045,"Patrinos, Harry Anthony, and George Psacharopoulos. ""Returns to education in developing countries."" In The Economics of education, pp. 53-64. Academic Press, 2020.", 
"Education, human capital, and growth: a personal perspective",https://www.journals.uchicago.edu/doi/abs/10.1086/209865,"Griliches, Zvi. ""Education, human capital, and growth: a personal perspective."" Journal of Labor Economics 15, no. 1, Part 2 (1997): S330-S344.", 
The pattern of returns to education and its implications,https://www.ssoar.info/ssoar/handle/document/6918,"Colclough, Christopher, Geeta Kingdon, and Harry Patrinos. ""The pattern of returns to education and its implications."" (2009): 5.", 
Estimating the social returns to education,http://www.johnnorell.com/wp-content/uploads/2020/01/Term_Paper_John_Norell.pdf,"NORELL, John. Estimating the social returns to education. 2019.", 
Returns to university education,https://www.cpb.nl/sites/default/files/publicaties/download/returns-university-education-evidence-institutional-reform.pdf,"Webbink, Dinand. ""Returns to university education."" (2004).", 
The changing pattern of wage returns to education and its implications,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-7679.2010.00507.x,"COLCLOUGH, Christopher; KINGDON, Geeta; PATRINOS, Harry. The changing pattern of wage returns to education and its implications. Development Policy Review, 2010, 28.6: 733-747.", 
Higher levels of education for higher private returns: New evidence from Malaysia,https://www.sciencedirect.com/science/article/pii/S0738059312000843,"KENAYATHULLA, Husaina Banu. Higher levels of education for higher private returns: New evidence from Malaysia. International Journal of Educational Development, 2013, 33.4: 380-393.", 
Measuring returns to education: The case of Latvia,https://www.ceeol.com/search/article-detail?id=546704,"Saksonova, Svetlana, and K?rlis Vilerts. ""Measuring returns to education: The case of Latvia."" Analele stiintifice ale Universitatii “Al. I. Cuza” din Iasi. Stiinte economice/Scientific Annals of the"" Al. I. Cuza"" (2015).", 
Returns to investment in education: a further update,https://www.tandfonline.com/doi/abs/10.1080/0964529042000239140,"Psacharopoulos, George, and Harry Anthony Patrinos*. ""Returns to investment in education: a further update."" Education economics 12, no. 2 (2004): 111-134.", 
Does the human-capital/educational-sorting debate matter for development policy?,https://www.nber.org/papers/w4052,"Lang, Kevin. ""Does the human-capital/educational-sorting debate matter for development policy?."" (1992).", 
Returns to education in Bangladesh,https://www.tandfonline.com/doi/abs/10.1080/09645290600854144,"Asadullah, Mohammad Niaz. ""Returns to education in Bangladesh."" Education Economics 14, no. 4 (2006): 453-468.", 
The Economics of Imperfect Labor Markets,http://www.ecostat.unical.it/ordine/didattica/Politiche%20del%20lavoro/Overhead_LE-College8_Education.pdf,"Boeri, Tito, and Jan van Ours. ""The Economics of Imperfect Labor Markets."" (2010).", 
The Private Returns to Tertiary Education in Italy and in Europe,https://www.jstor.org/stable/23248348,"Luongo, Patrizia, Vito Peragine, and Laura Serlenga. ""The Private Returns to Tertiary Education in Italy and in Europe."" Giornale degli Economisti e Annali di Economia (2010): 7-28.", 
Endogeneity of schooling in the wage function: Evidence from the rural Philippines,https://ageconsearch.umn.edu/record/94857/,"Maluccio, John A. Endogeneity of schooling in the wage function: Evidence from the rural Philippines. No. 583-2016-39673. 1998.", 
Private returns to human capital over transition: A case study of Belarus,https://www.sciencedirect.com/science/article/pii/S0272775705000129,"Pastore, Francesco, and Alina Verashchagina. ""Private returns to human capital over transition: A case study of Belarus."" Economics of Education Review 25, no. 1 (2006): 91-107.", 
Returns to Education in South Africa: Evidence from the National Income Dynamics Study,https://hrcak.srce.hr/220478,"Depken, Craig, Chanda Chiseni, and Ernest Ita. ""Returns to Education in South Africa: Evidence from the National Income Dynamics Study."" Zagreb International Review of Economics & Business 22, no. 1 (2019): 1-12.", 
The returns to education in Indonesia: Post reform estimates,https://www.jstor.org/stable/24737315,"Purnastuti, Losina, Ruhul Salim, and Mohammad Abdul Munim Joarder. ""The returns to education in Indonesia: Post reform estimates."" The Journal of Developing Areas (2015): 183-204.", 
Language-skill complementarity: returns to immigrant language acquisition,https://www.sciencedirect.com/science/article/pii/S0927537103000150,"BERMAN, Eli; LANG, Kevin; SINIVER, Erez. Language-skill complementarity: returns to immigrant language acquisition. Labour Economics, 2003, 10.3: 265-290.", 
Regional Disparities in Private Returns to Education: Evidence from Nigeria,https://core.ac.uk/download/pdf/234646605.pdf,"Umar, Habibu Mohammed, R. Ismail, and R. AbdulHakim. ""Regional Disparities in Private Returns to Education: Evidence from Nigeria."" Journal of Economics and Sustainable Development 5, no. 20 (2014): 48-58.", 
How much is it worth? New estimates of private returns to university education in Australia,None,"Sinning, Mathias. ""How much is it worth? New estimates of private returns to university education in Australia."" Final Report (2014).", 
Education gender gaps in Pakistan: Is the labor market to blame?,https://www.journals.uchicago.edu/doi/abs/10.1086/598767,"Aslam, Monazza. ""Education gender gaps in Pakistan: Is the labor market to blame?."" Economic Development and Cultural Change 57, no. 4 (2009): 747-784.", 
Private returns to education in the Netherlands: A review of the literature,https://www.etla.fi/PURE/chapt10ne.pdf,"HARTOG, Joop; ODINK, Joop; SMITS, Jeroen. Private returns to education in the Netherlands: A review of the literature. Returns to human capital in Europe: A literature review, Helsinki: ELTA, 1999.", 
Returns to education in India: Some recent evidence,http://oii.igidr.ac.in:8080/xmlui/handle/2275/144,"Agrawal, Tushar. ""Returns to education in India: Some recent evidence."" (2012).", 
Private returns to education in Ghana: implications for investments in schooling and migration,https://opendocs.ids.ac.uk/opendocs/bitstream/handle/20.500.12413/2572/RP%20174.pdf;sequence=1,"Sackey, Harry A. ""Private returns to education in Ghana: implications for investments in schooling and migration."" (2008).", 
,https://rss.onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-985X.2004.00360.x,"Evaluating the effect of education on earnings: models, methods and results from the National Child Development Survey Blundell, Richard, Lorraine Dearden, and Barbara Sianesi. ""Evaluating the effect of education on earnings: models, methods and results from the National Child Development Survey."" Journal of the Royal Statistical Society: Series A (Statistics in Society) 168, no. 3 (2005): 473-512.", 
Private and social returns to investment in education: the case of turkey with alternative methods,https://www.tandfonline.com/doi/abs/10.1080/00036846.2020.1841086,"Patrinos, Harry Anthony, George Psacharopoulos, and Aysit Tansel. ""Private and social returns to investment in education: the case of turkey with alternative methods."" Applied Economics 53, no. 14 (2021): 1638-1658.", 
Impact of Education on Individual Earnings in Turkey.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=13071637&asa=Y&AN=37167684&h=oj84C5gyU0LsuSTmP6xmlcXu7PqwpWg5x0o5nSOjAuYPulZ6%2B6GefWlO7SlMEqzmsxvF6K%2BpRu38kaB1g%2FoMqg%3D%3D&crl=c,"Vural, Burçak Müge, and Yaprak Gülcan. ""Impact of Education on Individual Earnings in Turkey."" International Journal of Economic Perspectives 2, no. 3 (2008).", 
Do higher levels of schooling lead to higher returns to education in Nigeria?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1249290,"Amaghionyeodiwe, Lloyd, and Tokunbo Simbowale Osinubi. ""Do higher levels of schooling lead to higher returns to education in Nigeria?."" Applied econometrics and international development 7, no. 1 (2007).", 
"The great proletarian cultural revolution, disruptions to education, and the returns to schooling in urban China",https://www.journals.uchicago.edu/doi/abs/10.1086/700568,"Giles, John, Albert Park, and Meiyan Wang. ""The great proletarian cultural revolution, disruptions to education, and the returns to schooling in urban China."" Economic Development and Cultural Change 68, no. 1 (2019): 131-164.", 
OYEDOLAPO CHIAMAKA ADEOYE,https://thesis.eur.nl/pub/15429/OAdeoye_moodledata_temp_turnitintool_166828085._60_1384358072_1970.pdf,"van der Hoeven, Rolph. ""OYEDOLAPO CHIAMAKA ADEOYE."" (2013).", 
Social and economic returns to college education in the United States,https://www.annualreviews.org/doi/abs/10.1146/annurev.soc.012809.102503,"Hout, Michael. ""Social and economic returns to college education in the United States."" Annual review of sociology 38 (2012): 379-400.", 
"The returns to education: a review of evidence, issues and deficiencies in the literature",https://eprints.lse.ac.uk/19551/1/CEEDP05.pdf,"Harmon, Colm, Hessel Oosterbeek, and Ian Walker. The returns to education: a review of evidence, issues and deficiencies in the literature. No. 5. Centre for the Economics of Education, London School of Economics and Political Science, 2000.", 
How large are the social returns to education? Evidence from compulsory schooling laws,https://www.nber.org/papers/w7444,"Acemoglu, Daron, and Joshua Angrist. ""How large are the social returns to education? Evidence from compulsory schooling laws."" (1999).", 
Returns to foreign languages of native workers in the European Union,https://journals.sagepub.com/doi/pdf/10.1177/001979391106400309,"GINSBURGH, Victor A.; PRIETO-RODRIGUEZ, Juan. Returns to foreign languages of native workers in the European Union. ILR Review, 2011, 64.3: 599-618.", 
Returns to education among the informally employed in Thailand,https://onlinelibrary.wiley.com/doi/abs/10.1111/apel.12284,"Vivatsurakit, Tanthaka, and Jessica Vechbanyongratana. ""Returns to education among the informally employed in Thailand."" Asian?Pacific Economic Literature 34, no. 1 (2020): 26-43.", 
Private Returns to Education in Pakistan,None,"Jamal, Haroon. ""Private Returns to Education in Pakistan."" (2015).", 
"Private returns to education: earnings, health and well-being",https://researchportal.bath.ac.uk/files/187934111/Qiu_PHD.pdf,"Qiu, Tian. ""Private returns to education: earnings, health and well-being."" PhD diss., University of bath, 2007.", 
"Education, intelligence, and attitude extremity",https://academic.oup.com/poq/article-abstract/78/4/832/1864832,"Makowsky, Michael D., and Stephen C. Miller. ""Education, intelligence, and attitude extremity."" Public Opinion Quarterly 78, no. 4 (2014): 832-858.", 
Estimating Returns to Education in Zambia,https://www.africaportal.org/publications/estimating-returns-to-education-in-zambia/,"Mphuka, Chrispin, and Joseph Simumba. ""Estimating Returns to Education in Zambia."" (2012).", 
Returns to education in the life course,https://www.elgaronline.com/display/edcoll/9781788110419/9781788110419.00035.xml,"Gebel, Michael, and Guido Heineck. ""Returns to education in the life course."" In Research handbook on the sociology of education, pp. 454-475. Edward Elgar Publishing, 2019.", 
An empirical investigation of the financial value of a college degree,https://www.tandfonline.com/doi/abs/10.1080/09645292.2017.1332167,"Lobo, Bento J., and Lisa A. Burke-Smalley. ""An empirical investigation of the financial value of a college degree."" Education Economics 26, no. 1 (2018): 78-92.", 
Rates of return to education by gender in Pakistan,https://www.ssoar.info/ssoar/handle/document/6708,"Aslam, Monazza. ""Rates of return to education by gender in Pakistan."" (2007): 41.", 
Returns to education in Sri Lanka: a pseudo-panel approach,https://www.tandfonline.com/doi/abs/10.1080/09645292.2015.1005575,"Himaz, Rozana, and Harsha Aturupane. ""Returns to education in Sri Lanka: a pseudo-panel approach."" Education Economics 24, no. 3 (2016): 300-311.", 
The returns to education in Thailand: A pseudo-panel approach,https://www.sciencedirect.com/science/article/pii/S0305750X10000471,"Warunsiri, Sasiwimon, and Robert McNown. ""The returns to education in Thailand: A pseudo-panel approach."" World Development 38, no. 11 (2010): 1616-1625.", 
Estimates of Mincerian returns to schooling in Nigeria,https://www.tandfonline.com/doi/abs/10.1080/13600810600707433,"Aromolaran, Adebayo B. ""Estimates of Mincerian returns to schooling in Nigeria."" Oxford Development Studies 34, no. 2 (2006): 265-292.", 
"A comparative study of returns to education of urban men in Egypt, Iran, and Turkey",https://www.tandfonline.com/doi/abs/10.1142/S1793812009000085,"Salehi-Isfahani, Djavad, Insan Tunali, and Ragui Assaad. ""A comparative study of returns to education of urban men in Egypt, Iran, and Turkey."" Middle East Development Journal 1, no. 2 (2009): 145-187.", 
Social and nonmarket benefits from education in an advanced economy,https://www.bostonfed.org/-/media/Documents/conference/47/conf47g.pdf,"Wolfe, Barbara L., and Robert H. Haveman. ""Social and nonmarket benefits from education in an advanced economy."" In Conference series-federal reserve bank of Boston, vol. 47, pp. 97-131. Federal Reserve Bank of Boston; 1998, 2002.", 
Private returns to education in Georgia,https://kse.ua/wp-content/uploads/2019/03/botchorishvili_2007.pdf,"Botchorishvili, Vladimer. ""Private returns to education in Georgia."" Economics Education and Research Consortium, National University, Kyir-Mohyla Academy (2007).", 
Private returns to education in India by gender and location: A Pseudo-Panel Approach,https://journals.sagepub.com/doi/pdf/10.1177/0976747920130103,"Mendiratta, Priti, and Yamini Gupt. ""Private returns to education in India by gender and location: A Pseudo-Panel Approach."" Arthaniti-Journal of Economic Theory and Practice 12, no. 1-2 (2013): 48-69.", 
"Educational signaling, credit constraints and inequality dynamics",https://www.csef.it/WP/wp311.pdf,"D'AMATO, Marcello, et al. Educational signaling, credit constraints and inequality dynamics. Boston Univ., Department of Economics, Inst. for Economic Development, 2012.", 
Private returns to education in Pakistan: a statistical investigation,https://mpra.ub.uni-muenchen.de/id/eprint/70640,"Jamal, Haroon. ""Private returns to education in Pakistan: a statistical investigation."" (2015).", 
Heterogeneity in returns to schooling: Econometric evidence from Ethiopia,https://www.tandfonline.com/doi/abs/10.1080/00220380500187026,"Girma, Sourafel, and Abbi Kedir. ""Heterogeneity in returns to schooling: Econometric evidence from Ethiopia."" The Journal of Development Studies 41, no. 8 (2005): 1405-1416.", 
"Economic transition, higher education and worker productivity in China",https://www.sciencedirect.com/science/article/pii/S0304387810000039,"Fleisher, Belton M., Yifan Hu, Haizheng Li, and Seonghoon Kim. ""Economic transition, higher education and worker productivity in China."" Journal of Development Economics 94, no. 1 (2011): 86-94.", 
The returns to education in Africa: some new estimates,https://www.tandfonline.com/doi/abs/10.1080/00220388.2014.936394,"Barouni, Mahdi, and Stijn Broecke. ""The returns to education in Africa: some new estimates."" The Journal of Development Studies 50, no. 12 (2014): 1593-1613.", 
Does schooling cause growth?,https://www.aeaweb.org/articles?id=10.1257/aer.90.5.1160,"Bils, Mark, and Peter J. Klenow. ""Does schooling cause growth?."" American economic review 90, no. 5 (2000): 1160-1183.", 
Education for Growth in Sweden and the World,https://www.nber.org/papers/w7190,"Krueger, Alan B., and Mikael Lindahl. ""Education for Growth in Sweden and the World."" (1999).", 
Reconciling the returns to education in off?farm wage employment in rural China,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9361.2007.00376.x,"De Brauw, Alan, and Scott Rozelle. ""Reconciling the returns to education in off?farm wage employment in rural China."" Review of Development Economics 12, no. 1 (2008): 57-71.", 
Understanding the external social benefits of education in Ethiopia: A contextual analysis using Young Lives,https://muse.jhu.edu/pub/34/article/806386/summary,"Sabates, Ricardo, Yiran Vicky Zhao, Rafael Mitchell, and Sonia Ilie. ""Understanding the external social benefits of education in Ethiopia: A contextual analysis using Young Lives."" Journal of Education Finance 47, no. 1 (2021): 45-70.", 
Tell me who your co-worker is and I will tell you how much you earn: human capital spillovers in the Greek health sector,https://www.tandfonline.com/doi/abs/10.1080/13639080.2021.1897550,"Chanis, Stefanos, Konstantinos Eleftheriou, Stamatina Hadjidema, and Vasileios Katavelis. ""Tell me who your co-worker is and I will tell you how much you earn: human capital spillovers in the Greek health sector."" Journal of Education and Work 34, no. 2 (2021): 128-142.", 
Education for growth: Why and for whom?,https://www.aeaweb.org/articles?id=10.1257/jel.39.4.1101,"Krueger, Alan B., and Mikael Lindahl. ""Education for growth: Why and for whom?."" Journal of economic literature 39, no. 4 (2001): 1101-1136.", 
Knowledge and earnings,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9787.2008.00603.x,"Gabe, Todd M. ""Knowledge and earnings."" Journal of Regional Science 49, no. 3 (2009): 439-457.", 
Private returns to STEM education in Thailand,https://searchlib.utcc.ac.th/library/onlinethesis/260075.pdf,"Paweenawat, Sasiwimon Warunsiri, and Jessica Vechbanyongratana. ""Private returns to STEM education in Thailand."" Science 100 (2015): 150-000.", 
New Evidence on an Old Question,None,"RIDDELL, W. CRAIG. ""New Evidence on an Old Question.""", 
"Returns to education: New evidence for India, 1983–1999",https://www.tandfonline.com/doi/abs/10.1080/09645290600854128,"Vasudeva Dutta, Puja. ""Returns to education: New evidence for India, 1983–1999."" Education Economics 14, no. 4 (2006): 431-451.", 
"Subsidies, selectivity and the returns to education in urban Papua New Guinea",https://www.sciencedirect.com/science/article/pii/S027277570500035X,"Gibson, John, and Osaiasi Koliniusi Fatai. ""Subsidies, selectivity and the returns to education in urban Papua New Guinea."" Economics of Education Review 25, no. 2 (2006): 133-146.", 
Returns to education in the Philippine,http://pre.econ.upd.edu.ph/index.php/pre/article/view/574,"Gerochi, Hope A. ""Returns to education in the Philippine."" Philippine Review of Economics 39, no. 2 (2010): 37-72.", 
"Changing returns to education in times of prosperity and crisis, Thailand 1985–1998",https://www.sciencedirect.com/science/article/pii/S0272775704000068,"Hawley, Joshua D. ""Changing returns to education in times of prosperity and crisis, Thailand 1985–1998."" Economics of Education Review 23, no. 3 (2004): 273-286.", 
What is the private return to tertiary education? New evidence from 21 OECD countries,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1860961,"Boarini, Romina, and Hubert Strauss. ""What is the private return to tertiary education? New evidence from 21 OECD countries."" OECD Journal: Economic Studies 2010 (2010).", 
Monetary and Nonmonetary Returns to Education in I ndonesia,https://onlinelibrary.wiley.com/doi/abs/10.1111/deve.12001,"Sohn, Kitae. ""Monetary and Nonmonetary Returns to Education in I ndonesia."" The Developing Economies 51, no. 1 (2013): 34-59.", 
"The returns to education: A review of evidence, issues and deficiencies in the literature",http://researchrepository.ucd.ie/handle/10197/1099,"Harmon, Colm, Hessel Oosterbeek, and Ian Walker. ""The returns to education: A review of evidence, issues and deficiencies in the literature."" (2002).", 
THE PRIVATE RETURNS TO TOURIST HUMAN CAPITAL: ENDOGENEITY OF SCHOOLING AND RETURNS HETEROGENEITY,https://archivo.alde.es/encuentros.alde.es/anteriores/ixeea/trabajos/l/pdf/lillo.pdf,"Lillo, Adelaida. ""THE PRIVATE RETURNS TO TOURIST HUMAN CAPITAL: ENDOGENEITY OF SCHOOLING AND RETURNS HETEROGENEITY.""", 
Returns to Education in the Philippines,https://www.dlsu.edu.ph/wp-content/uploads/pdf/conferences/research-congress-proceedings/2017/SEP/SEP-I-005.pdf,"Sauler, Mariel Monica, and Maria Francesca Tomaliwan. ""Returns to Education in the Philippines."" In DLSU Research Congress. 2017.", 
"Education, occupational class, and unemployment in the regions of the United Kingdom",https://www.tandfonline.com/doi/abs/10.1080/09645290801977157,"BOROOAH, Vani K.; MANGAN, John. Education, occupational class, and unemployment in the regions of the United Kingdom. Education Economics, 2008, 16.4: 351-370.", 
Private returns to investment in education in MENA countries,https://www.taylorfrancis.com/chapters/edit/10.4324/9781315103969-7/private-returns-investment-education-mena-countries-aysit-tansel,"Tansel, Aysit. ""Private returns to investment in education in MENA countries."" The Routledge Handbook on the Middle East Economy (2021): 75-91.", 
The private rate of return to education analysis,https://core.ac.uk/download/pdf/55281163.pdf,"Cegolon, Andrea. ""The private rate of return to education analysis."" Nuova Secondary Ricerca 4 (2014).", 
Estimating the Effect of Education on Earnings in Ghana: Models for Twins,https://ir.ucc.edu.gh/xmlui/handle/123456789/8454,"AGYEMAN, ADELAIDE. ""Estimating the Effect of Education on Earnings in Ghana: Models for Twins."" PhD diss., University of Cape Coast, 2012.", 
Returns to higher education in China: What is the role of college quality?,https://www.sciencedirect.com/science/article/pii/S1043951X11000228,"Zhong, Hai. ""Returns to higher education in China: What is the role of college quality?."" China Economic Review 22, no. 2 (2011): 260-275.", 
,,"Lang, Kevin. ""participants at seminars at MIT and the NBER for helpful comments and criticisms. This paper is part of NBER's research program in Labor Studies. Any opinions expressed are."" (1992).", 
and used to guide action.,None,"LEWIN, KEITH M. ""and used to guide action."" The Elgar Companion to Development Studies (2006): 151.", 
Social returns to higher education in Turkey: a quantile regression approach,None,"Bakis, Ozan, Nurhan Davutyan, Haluk Levent, and Sezgin Polat. ""Social returns to higher education in Turkey: a quantile regression approach."" In Shock Vulnerability and Therapy, Economic Research Forum 16th Annual Conference. 2009.", 
Graduate employment and the returns to higher education in Africa,https://cemapre.iseg.ulisboa.pt/educonf/2e3/files/submissions_to_web/Barounia%20Mahdi_Broeckeb%20%20Stijn.docx,"Barouni, Mahdi, and Stijn Broecke. ""Graduate employment and the returns to higher education in Africa."" (2012).", 
Is school the best route to skills? Returns to vocational school and vocational skills in Egypt,https://www.tandfonline.com/doi/abs/10.1080/00220388.2017.1329524,"Krafft, Caroline. ""Is school the best route to skills? Returns to vocational school and vocational skills in Egypt."" The Journal of Development Studies 54, no. 7 (2018): 1100-1120.", 
DEMOGRAPHIC FACTORS AS DETERMINANTS OF PRIVATE RETURNS TO INVESTMENT IN EDUCATION AMONG NIGERIAN WORKERS,http://ir.library.ui.edu.ng/handle/123456789/239,"FABUNMI, AB. ""DEMOGRAPHIC FACTORS AS DETERMINANTS OF PRIVATE RETURNS TO INVESTMENT IN EDUCATION AMONG NIGERIAN WORKERS."" PhD diss., 2012.", 
The college wage premium and the expansion of higher education in the UK,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9442.2008.00557.x,"Walker, Ian, and Yu Zhu. ""The college wage premium and the expansion of higher education in the UK."" The Scandinavian Journal of Economics 110, no. 4 (2008): 695-709.", 
"Higher learning, greater good: The private and social benefits of higher education",https://books.google.com/books?hl=en&lr=&id=uIkQZ7hy-tYC&oi=fnd&pg=PR7&dq=(%22ability+bias%22+OR+%22intelligence+bias%22)+AND+(%22private+returns%22)+AND+(%22income%22+OR+%22earnings%22)+AND+(%22schooling%22+OR+%22education%22)&ots=Px2KqYORJb&sig=6Qg-pcFc7pGY7oGmDcYPml54Buk,"McMahon, Walter W. Higher learning, greater good: The private and social benefits of higher education. JHU Press, 2009.", 
Returns to education in Ethiopia,https://link.springer.com/chapter/10.1007/978-981-10-8126-2_9,"Desalegn, Yonatan. ""Returns to education in Ethiopia."" Economic Growth and Development in Ethiopia (2018): 199-226.", 
Essays on earnings and human capital in Kenya,https://gupea.ub.gu.se/handle/2077/2934,"Wambugu, Anthony. Essays on earnings and human capital in Kenya. No. 124. 2003.", 
Role of human capital and education in economic growth,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2013733,"Tatlah, Ijaz Ahmad, Farah Naz, and Muhammad Zafar Iqbal. ""Role of human capital and education in economic growth."" International journal of academic research 3, no. 2 (2011).", 
How large are human-capital externalities? Evidence from compulsory schooling laws,https://www.journals.uchicago.edu/doi/abs/10.1086/654403,"Acemoglu, Daron, and Joshua Angrist. ""How large are human-capital externalities? Evidence from compulsory schooling laws."" NBER macroeconomics annual 15 (2000): 9-59.", 
Signaling and employer learning with instruments,https://www.aeaweb.org/doi/10.1257/aer.20200146,"Aryal, Gaurab, Manudeep Bhuller, and Fabian Lange. ""Signaling and employer learning with instruments."" American Economic Review 112, no. 5 (2022): 1669-1702.", 
Are educated workers really more productive?,https://www.sciencedirect.com/science/article/pii/S0304387800001243,"Jones, Patricia. ""Are educated workers really more productive?."" Journal of development economics 64, no. 1 (2001): 57-79.", 
Education and earnings inequality in Ghana,https://www.scirp.org/html/11-7201228_66194.htm,"Baffour, Priscilla Twumasi. ""Education and earnings inequality in Ghana."" Modern Economy 7, no. 04 (2016): 456.", 
Quantile estimates for social returns to education in Turkey: 2006–2009,https://www.tandfonline.com/doi/abs/10.1142/S179381201350017X,"Bakis, Ozan, Nurhan Davutyan, Haluk Levent, and Sezgin Polat. ""Quantile estimates for social returns to education in Turkey: 2006–2009."" Middle East Development Journal 5, no. 3 (2013): 1350017-1.", 
Returns to education in criminal organizations: Did going to college help Michael Corleone?,https://www.sciencedirect.com/science/article/pii/S0272775716301303,"Campaniello, Nadia, Rowena Gray, and Giovanni Mastrobuoni. ""Returns to education in criminal organizations: Did going to college help Michael Corleone?."" Economics of Education Review 54 (2016): 242-258.", 
