obs_n,study_id,study_name,effect,se,t_stat,95_lower,95_upper,pcc,se_pcc,se_pcc_precision,est_short_run,est_long_run,est_agg_city,est_agg_subregion,est_agg_region,est_agg_country,est_agg_continent,n_obs,regressands,reg_df,study_size,years_of_schooling,years_of_experience,schooling_years,schooling_levels,wage_log_hourly,wage_log_daily,wage_log_monthly,wage_mean_annual_earnings,data_type_micro,data_type_survey,data_type_national_register,data_cross_section,data_panel,data_avgyear,no_ed,prim_ed,sec_ed,higher_ed,wage_earners,self_employed,gender_male,gender_female,private_sector,public_sector,ethnicity_caucasian,ethnicity_other,sector_rural,sector_urban,country,region_advanced_economies,region_east_asia_and_pacific,region_europe_and_central_asia,region_latin_america_and_caribbean,region_middle_east_and_north_africa,region_south_asia,region_sub_saharan_africa,income_high,income_middle,income_low,med_exp,min_wage,freedom_index,mean_age,method_ols,method_cohort,method_fe,method_2sls,method_heckman,method_probit,method_IV,ability_direct,ability_proxy,ability_uncontrolled,ability_unmentioned,instr_parents_ed,instr_distance_to_school,instr_other,age_control,age_sq_control,exp_control,exp_sq_control,ethnicity_control,health_control,gender_control,marriage_control,occupation_control,firm_char_control,area_control,macro_var_control,impact_factor,citations,published,unpublished,pub_year,X
11,2,Bartolj et al. (2013),9.652252282712093,0.3780545349276537,25.53137547882925,9.27419774778444,10.030306817639746,0.0850342948073391,0.0033305802453866998,300.24798273067705,1,0,0,0,0,1,0,89504,6,89497,48,20,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
12,2,Bartolj et al. (2013),8.017969222723531,0.515570282670342,15.55165123403797,7.502398940053189,8.533539505393874,0.05191420991622314,0.0033381799228237763,299.5644402396672,1,0,0,0,0,1,0,89504,6,89497,48,22,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
13,2,Bartolj et al. (2013),6.08845115109895,0.9477471906295829,6.424129990883357,5.140703960469367,7.036198341728533,0.02146890884719145,0.0033419169409178383,299.22945952252053,1,0,0,0,0,1,0,89504,6,89497,48,16,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
14,2,Bartolj et al. (2013),8.849056977364178,0.1424725876667071,62.11059349932775,8.70658438969747,8.991529565030886,0.20328134487832528,0.003272893292841027,305.5400560071277,1,0,0,0,0,1,0,89504,6,89497,48,18,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
15,2,Bartolj et al. (2013),9.337244470774353,0.2592118827312637,36.02166834479067,9.07803258804309,9.596456353505616,0.11954568578505613,0.0033187159639801755,301.3213576737336,1,0,0,0,0,1,0,89504,6,89497,48,20,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
16,2,Bartolj et al. (2013),7.769907576827317,0.2686767484492267,28.91916632784336,7.501230828378091,8.038584325276544,0.09621921013513261,0.0033271778668976636,300.55501689557184,1,0,0,0,0,1,0,89504,6,89497,48,22,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
17,2,Bartolj et al. (2013),4.981100150790518,1.69373137667654,2.940903273909051,3.287368774113978,6.674831527467059,0.010072493330444405,0.003424965866713473,291.97371270726836,1,0,0,0,0,1,0,85247,6,85240,48,16,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
18,2,Bartolj et al. (2013),8.331252560617308,0.2904323124949525,28.68569440172776,8.040820248122357,8.62168487311226,0.09778167161591883,0.0034087259749246085,293.36473725263795,1,0,0,0,0,1,0,85247,6,85240,48,18,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
19,2,Bartolj et al. (2013),10.44834095267126,0.7554713738123577,13.83022747764153,9.692869578858902,11.203812326483616,0.04731740064905045,0.003421303136593057,292.2862897778192,1,0,0,0,0,1,0,85247,6,85240,48,20,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
20,2,Bartolj et al. (2013),7.702570339126136,4.28969211778058,1.795599807081569,3.412878221345556,11.992262456906715,0.0061500637299753795,0.0034250748444728473,291.9644227961126,1,0,0,0,0,1,0,85247,6,85240,48,22,18.08,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
21,2,Bartolj et al. (2013),5.880724981021745,1.248803832969085,4.709086267808825,4.63192114805266,7.129528813990829,0.016127180314689866,0.003424694175796862,291.9968758282829,1,0,0,0,0,1,0,85247,6,85240,48,16,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
22,2,Bartolj et al. (2013),7.430581565768501,0.2252213450016111,32.9923505505899,7.20536022076689,7.655802910770111,0.11228873072392834,0.0034034777410523313,293.81711181422537,1,0,0,0,0,1,0,85247,6,85240,48,18,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
23,2,Bartolj et al. (2013),7.6928921298799144,0.4670355015836627,16.47175022839638,7.225856628296252,8.159927631463578,0.056328468904717176,0.0034197014964208257,292.42318402545766,1,0,0,0,0,1,0,85247,6,85240,48,20,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
24,2,Bartolj et al. (2013),7.65954335620771,0.868073175114387,8.823614846983842,6.791470181093323,8.527616531322098,0.03020832017477747,0.003423576470487435,292.0922049267455,1,0,0,0,0,1,0,85247,6,85240,48,22,18.08,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
25,2,Bartolj et al. (2013),4.311443133061021,1.010947907016451,4.264753013619784,3.3004952260445695,5.322391040077472,0.014605816339121601,0.0034247742583162293,291.99004797812404,1,0,0,0,0,1,0,85247,6,85240,48,16,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
26,2,Bartolj et al. (2013),6.838516016464702,0.1688539764628034,40.49958526129912,6.669662040001898,7.007369992927505,0.13740107444162225,0.003392653864357494,294.7545019271754,1,0,0,0,0,1,0,85247,6,85240,48,18,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
27,2,Bartolj et al. (2013),7.294727911053189,0.2996274799854876,24.3459909331631,6.995100431067701,7.594355391038677,0.08309999542413622,0.0034132927943771167,292.97222952784733,1,0,0,0,0,1,0,85247,6,85240,48,20,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
28,2,Bartolj et al. (2013),6.1836074743852,0.4675268912366094,13.22620707020627,5.716080583148591,6.651134365621809,0.045255192504221456,0.0034216304239001816,292.25833188031436,1,0,0,0,0,1,0,85247,6,85240,48,22,18.08,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.51218000000000008,0.48781999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,38.43,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
29,2,Bartolj et al. (2013),10.52094495921161,1.801082066001966,5.841457842376918,8.719862893209644,12.322027025213576,0.020561361197418176,0.0035199023518162815,284.09879026445054,1,0,0,0,0,1,0,80686,7,80678,48,16,6.28,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
30,2,Bartolj et al. (2013),8.877536588007406,0.3415765853741409,25.98988621624496,8.535960002633265,9.219113173381546,0.09112054866387512,0.003506000292025914,285.2253042518026,1,0,0,0,0,1,0,80686,7,80678,48,18,6.28,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
31,2,Bartolj et al. (2013),10.17082554157072,0.7350047824383252,13.83776784122375,9.435820759132394,10.905830324009045,0.048660179266252414,0.003516476054851136,284.37560341707865,1,0,0,0,0,1,0,80686,7,80678,48,20,6.28,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
32,2,Bartolj et al. (2013),8.866108106197057,1.610578673617441,5.504920840832527,7.255529432579616,10.476686779814498,0.019377242186582343,0.0035199856177499287,284.0920698531795,1,0,0,0,0,1,0,80686,7,80678,48,22,6.28,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
33,2,Bartolj et al. (2013),10.3021993206643,1.260283449764172,8.17450972842028,9.041915870900128,11.562482770428472,0.028767649097303595,0.0035191895358919504,284.1563348041005,1,0,0,0,0,1,0,80686,7,80678,48,16,6.28,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
34,2,Bartolj et al. (2013),8.792008174013732,0.2141574964055389,41.05393610581235,8.577850677608193,9.006165670419271,0.1430499140798535,0.0034844384643449755,286.9902884590001,1,0,0,0,0,1,0,80686,7,80678,48,18,6.28,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
35,2,Bartolj et al. (2013),9.17767573611512,0.3964576033066067,23.14919845040131,8.781218132808513,9.574133339421726,0.08123081561429317,0.0035090120199338898,284.9805000151695,1,0,0,0,0,1,0,80686,7,80678,48,20,6.28,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
36,2,Bartolj et al. (2013),7.535845428473764,0.5343550417084846,14.1026936030762,7.00149038676528,8.070200470182249,0.04958951490156306,0.0035163151308021164,284.3886178574351,1,0,0,0,0,1,0,80686,7,80678,48,22,6.28,0,1,0,0,0,1,0,0,1,0,1,2006,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10461,1029,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
37,2,Bartolj et al. (2013),5.940158462478817,1.009802463617684,5.88249551421949,4.930355998861133,6.949960926096502,0.020705748081815238,0.003519891860820662,284.0996370174992,1,0,0,0,0,1,0,80686,7,80678,48,16,6.28,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
38,2,Bartolj et al. (2013),8.476080955730648,0.1588864035303645,53.34679851388794,8.317194552200284,8.634967359261012,0.18458781482753375,0.003460147937077788,289.0049842332851,1,0,0,0,0,1,0,80686,7,80678,48,18,6.28,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
39,2,Bartolj et al. (2013),8.991146503041957,0.2641899711935492,34.03288346799099,8.726956531848408,9.255336474235506,0.11896683850593186,0.003495643812191933,286.0703360314485,1,0,0,0,0,1,0,80686,7,80678,48,20,6.28,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
40,2,Bartolj et al. (2013),7.348137221671669,0.2772388353438723,26.50471826054755,7.070898386327797,7.625376057015541,0.09291011871217471,0.0035054180843896027,285.2726767324046,1,0,0,0,0,1,0,80686,7,80678,48,22,6.28,0,1,0,0,0,1,0,0,1,0,1,2008,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,11381,1040,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
41,2,Bartolj et al. (2013),4.525447279814765,1.861077724480064,2.431627234203265,2.6643695553347007,6.386525004294829,0.00792844079001489,0.003260549428996951,306.69677665571595,1,0,0,0,0,1,0,94065,7,94057,48,16,6.28,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
42,2,Bartolj et al. (2013),7.400535251022333,0.3306944402410765,22.37877130812159,7.0698408107812565,7.73122969126341,0.0727758919577176,0.003252005704678976,307.5025356078567,1,0,0,0,0,1,0,94065,7,94057,48,18,6.28,0,1,0,0,0,1,0,0,1,0,1,2004,0,0,0,1,NA,NA,0.46172000000000002,0.53827999999999998,0.52400000000000002,0.47599999999999998,1,0,NA,NA,Slovenia,1,0,0,0,0,0,0,1,0,0,10169,996,0.95,27.56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.03,16,1,0,34,X
