"Var Name","Var Class","Mean","Median","Min","Max","SD","Obs","Missing obs"
"Method: IV","dummy","0.111","0","0","1","0.314","194","0%"
"Ability: Direct","dummy","0.135","0","0","1","0.341","236","0%"
"Ability: Proxied","dummy","0.204","0","0","1","0.403","357","0%"
"Ability: Uncontrolled","dummy","0.425","0","0","1","0.494","745","0%"
"Ability: Unmentioned","dummy","0.223","0","0","1","0.417","392","0%"
"Instrument: Parents Education","int","0.074","0","0","1","0.262","130","0%"
"Instrument: Distance to School","int","0.015","0","0","1","0.123","27","0%"
"Instument: Other","int","0.107","0","0","1","0.309","188","0%"
"Control: Age","int","0.344","0","0","1","0.475","604","0%"
"Control: Age^2","int","0.275","0","0","1","0.447","482","0%"
"Control: Experience","int","0.607","1","0","1","0.489","1064","0%"
"Control: Experience^2","int","0.512","1","0","1","0.5","898","0%"
"Control: Ethnicity","int","0.251","0","0","1","0.434","441","0%"
"Control: Health","int","0.135","0","0","1","0.342","237","0%"
"Control: Gender","int","0.367","0","0","1","0.482","644","0%"
"Control: Marriage","int","0.361","0","0","1","0.48","633","0%"
"Control: Occupation","int","0.142","0","0","1","0.349","249","0%"
"Control: Firm Char.","int","0.149","0","0","1","0.357","262","0%"
"Control: Area","int","0.418","0","0","1","0.493","733","0%"
"Control: Macro Var.","int","0.347","0","0","1","0.476","608","0%"
"Impact Factor","float","0.706","0.191","0","4.303","1.134","1364","0%"
"Citations","int","416.452","80","0","9699","1259.054","1650","0%"
"Study: Published","dummy","0.764","1","0","1","0.425","1340","0%"
"Study: Unpublished","dummy","0.236","0","0","1","0.425","414","0%"
"Publication Year","int","29.285","29","0","44","7.667","1750","0%"
